species,measure,value
Human,Brain size (g),1330
Human,Relative brain size (% of body mass),2
Human,Encephalisation Quotient,7
Human,Brain neurons (billions),86
Human,Cerebral cortex neurons (billions),16.3
Chimpanzee,Brain size (g),390
Chimpanzee,Relative brain size (% of body mass),0.8
Chimpanzee,Encephalisation Quotient,2.5
Chimpanzee,Brain neurons (billions),22
Chimpanzee,Cerebral cortex neurons (billions),6
Gorilla,Brain size (g),500
Gorilla,Relative brain size (% of body mass),0.5
Gorilla,Encephalisation Quotient,1.6
Gorilla,Brain neurons (billions),33
Gorilla,Cerebral cortex neurons (billions),9.1
Rhesus monkey,Brain size (g),93
Rhesus monkey,Relative brain size (% of body mass),1.2
Rhesus monkey,Encephalisation Quotient,2.1
Rhesus monkey,Brain neurons (billions),6
Rhesus monkey,Cerebral cortex neurons (billions),1.7
Marmoset,Brain size (g),8
Marmoset,Relative brain size (% of body mass),2.7
Marmoset,Encephalisation Quotient,1.7
Marmoset,Brain neurons (billions),0.634
Marmoset,Cerebral cortex neurons (billions),0.245
Elephant,Brain size (g),4148
Elephant,Relative brain size (% of body mass),0.1
Elephant,Encephalisation Quotient,1.2
Elephant,Brain neurons (billions),251
Elephant,Cerebral cortex neurons (billions),5.6
