"iso_a3","country","year","region","income_group","gdp_percap","population","birth_rate","neonat_mortal"
"ABW","Aruba",1990,"Latin America & Caribbean","High income",,62148,19.571,
"ABW","Aruba",1991,"Latin America & Caribbean","High income",,64623,19.021,
"ABW","Aruba",1992,"Latin America & Caribbean","High income",,68235,18.446,
"ABW","Aruba",1993,"Latin America & Caribbean","High income",,72498,17.859,
"ABW","Aruba",1994,"Latin America & Caribbean","High income",,76700,17.27,
"ABW","Aruba",1995,"Latin America & Caribbean","High income",,80326,16.692,
"ABW","Aruba",1996,"Latin America & Caribbean","High income",,83195,16.135,
"ABW","Aruba",1997,"Latin America & Caribbean","High income",,85447,15.603,
"ABW","Aruba",1998,"Latin America & Caribbean","High income",,87276,15.099,
"ABW","Aruba",1999,"Latin America & Caribbean","High income",,89004,14.627,
"ABW","Aruba",2000,"Latin America & Caribbean","High income",,90858,14.187,
"ABW","Aruba",2001,"Latin America & Caribbean","High income",,92894,13.776,
"ABW","Aruba",2002,"Latin America & Caribbean","High income",,94995,13.387,
"ABW","Aruba",2003,"Latin America & Caribbean","High income",,97015,13.015,
"ABW","Aruba",2004,"Latin America & Caribbean","High income",,98742,12.657,
"ABW","Aruba",2005,"Latin America & Caribbean","High income",,100031,12.312,
"ABW","Aruba",2006,"Latin America & Caribbean","High income",,100830,11.977,
"ABW","Aruba",2007,"Latin America & Caribbean","High income",,101219,11.653,
"ABW","Aruba",2008,"Latin America & Caribbean","High income",,101344,11.346,
"ABW","Aruba",2009,"Latin America & Caribbean","High income",,101418,11.06,
"ABW","Aruba",2010,"Latin America & Caribbean","High income",,101597,10.804,
"ABW","Aruba",2011,"Latin America & Caribbean","High income",36016.4837574639,101932,10.584,
"ABW","Aruba",2012,"Latin America & Caribbean","High income",,102384,10.409,
"ABW","Aruba",2013,"Latin America & Caribbean","High income",,102911,10.28,
"ABW","Aruba",2014,"Latin America & Caribbean","High income",,103431,,
"AFG","Afghanistan",1990,"South Asia","Low income",,11731193,50.467,51.4
"AFG","Afghanistan",1991,"South Asia","Low income",,12612043,50.472,50.2
"AFG","Afghanistan",1992,"South Asia","Low income",,13811876,50.546,49.1
"AFG","Afghanistan",1993,"South Asia","Low income",,15175325,50.675,48.1
"AFG","Afghanistan",1994,"South Asia","Low income",,16485018,50.833,47.3
"AFG","Afghanistan",1995,"South Asia","Low income",,17586073,50.978,46.6
"AFG","Afghanistan",1996,"South Asia","Low income",,18415307,51.063,46
"AFG","Afghanistan",1997,"South Asia","Low income",,19021226,51.039,45.5
"AFG","Afghanistan",1998,"South Asia","Low income",,19496836,50.869,45.1
"AFG","Afghanistan",1999,"South Asia","Low income",,19987071,50.528,44.6
"AFG","Afghanistan",2000,"South Asia","Low income",,20595360,49.999,44.2
"AFG","Afghanistan",2001,"South Asia","Low income",,21347782,49.281,43.6
"AFG","Afghanistan",2002,"South Asia","Low income",866.728717809182,22202806,48.405,43
"AFG","Afghanistan",2003,"South Asia","Low income",920.781839022754,23116142,47.403,42.3
"AFG","Afghanistan",2004,"South Asia","Low income",920.160891653404,24018682,46.291,41.6
"AFG","Afghanistan",2005,"South Asia","Low income",1020.13816369908,24860855,45.078,41
"AFG","Afghanistan",2006,"South Asia","Low income",1076.51928554417,25631282,43.763,40.3
"AFG","Afghanistan",2007,"South Asia","Low income",1222.77040855164,26349243,42.361,39.7
"AFG","Afghanistan",2008,"South Asia","Low income",1259.14522726191,27032197,40.899,39.1
"AFG","Afghanistan",2009,"South Asia","Low income",1497.93944117835,27708187,39.414,38.6
"AFG","Afghanistan",2010,"South Asia","Low income",1604.17685797205,28397812,37.952,38.1
"AFG","Afghanistan",2011,"South Asia","Low income",1695.1534360731,29105480,36.556,37.5
"AFG","Afghanistan",2012,"South Asia","Low income",1927.06064741913,29824536,35.254,36.9
"AFG","Afghanistan",2013,"South Asia","Low income",1946.15410078687,30551674,34.065,36.3
"AFG","Afghanistan",2014,"South Asia","Low income",1967.08345686559,31280518,,
"AGO","Angola",1990,"Sub-Saharan Africa","Upper middle income",2735.04224551023,10333844,52.587,54.3
"AGO","Angola",1991,"Sub-Saharan Africa","Upper middle income",2708.58959568127,10652727,52.427,54.3
"AGO","Angola",1992,"Sub-Saharan Africa","Upper middle income",2497.12667289403,11002758,52.242,54.3
"AGO","Angola",1993,"Sub-Saharan Africa","Upper middle income",1862.54176094351,11372156,52.04,54.3
"AGO","Angola",1994,"Sub-Saharan Africa","Upper middle income",1906.51171431991,11743432,51.825,54.2
"AGO","Angola",1995,"Sub-Saharan Africa","Upper middle income",2084.51710927168,12104952,51.603,54.2
"AGO","Angola",1996,"Sub-Saharan Africa","Upper middle income",2294.52570620055,12451945,51.379,54.1
"AGO","Angola",1997,"Sub-Saharan Africa","Upper middle income",2451.34354087329,12791388,51.155,53.9
"AGO","Angola",1998,"Sub-Saharan Africa","Upper middle income",2576.83237050246,13137542,50.93,53.7
"AGO","Angola",1999,"Sub-Saharan Africa","Upper middle income",2626.44342319325,13510616,50.703,53.5
"AGO","Angola",2000,"Sub-Saharan Africa","Upper middle income",2684.78810935574,13924930,50.477,53.2
"AGO","Angola",2001,"Sub-Saharan Africa","Upper middle income",2770.29341070309,14385283,50.257,52.9
"AGO","Angola",2002,"Sub-Saharan Africa","Upper middle income",3093.79224575753,14886574,50.034,52.7
"AGO","Angola",2003,"Sub-Saharan Africa","Upper middle income",3205.96073879426,15421075,49.799,52.4
"AGO","Angola",2004,"Sub-Saharan Africa","Upper middle income",3525.47088672392,15976715,49.538,52
"AGO","Angola",2005,"Sub-Saharan Africa","Upper middle income",4155.76933403792,16544376,49.224,51.7
"AGO","Angola",2006,"Sub-Saharan Africa","Upper middle income",4997.0353353901,17122409,48.825,51.2
"AGO","Angola",2007,"Sub-Saharan Africa","Upper middle income",6079.4215403076,17712824,48.33,50.7
"AGO","Angola",2008,"Sub-Saharan Africa","Upper middle income",6823.39925201559,18314441,47.739,50.1
"AGO","Angola",2009,"Sub-Saharan Africa","Upper middle income",6813.35405508101,18926650,47.063,49.5
"AGO","Angola",2010,"Sub-Saharan Africa","Upper middle income",6904.49977345251,19549124,46.327,48.8
"AGO","Angola",2011,"Sub-Saharan Africa","Upper middle income",7094.08430203827,20180490,45.566,48.1
"AGO","Angola",2012,"Sub-Saharan Africa","Upper middle income",7360.30022140469,20820525,44.819,47.4
"AGO","Angola",2013,"Sub-Saharan Africa","Upper middle income",7736.01685217652,21471618,44.117,46.6
"AGO","Angola",2014,"Sub-Saharan Africa","Upper middle income",7909.87623742806,22137261,,
"ALB","Albania",1990,"Europe & Central Asia","Upper middle income",2840.98723449143,3286542,25.225,17
"ALB","Albania",1991,"Europe & Central Asia","Upper middle income",2079.45198485958,3266790,24.687,16.4
"ALB","Albania",1992,"Europe & Central Asia","Upper middle income",1985.72469070634,3247039,24.14,15.9
"ALB","Albania",1993,"Europe & Central Asia","Upper middle income",2241.77087925198,3227287,23.594,15.5
"ALB","Albania",1994,"Europe & Central Asia","Upper middle income",2494.7731833378,3207536,23.049,15
"ALB","Albania",1995,"Europe & Central Asia","Upper middle income",2903.41139336806,3187784,22.49,14.5
