"country","iso_a3","gdp_percap"
"Aruba","ABW","-99"
"Afghanistan","AFG",1967.0834568656
"Angola","AGO",7909.8762374281
"Albania","ALB",10428.4558717232
"Andorra","AND","-99"
"United Arab Emirates","ARE",63497.0526751315
"Argentina","ARG","-99"
"Armenia","ARM",8137.5302865058
"American Samoa","ASM","-99"
"Antigua and Barbuda","ATG",21799.0807053732
"Australia","AUS",43901.5548535076
"Austria","AUT",46164.9443210062
"Azerbaijan","AZE",17515.6237584099
"Burundi","BDI",794.4197585984
"Belgium","BEL",42725.3105650476
"Benin","BEN",1864.5364754312
"Burkina Faso","BFA",1683.8242809739
"Bangladesh","BGD",3135.5022119961
"Bulgaria","BGR",16323.8400000049
"Bahrain","BHR",46081.8572044015
"Bahamas, The","BHS",23520.7811495437
"Bosnia and Herzegovina","BIH",9904.1758358841
"Belarus","BLR",18184.8635799703
"Belize","BLZ","-99"
"Bermuda","BMU","-99"
"Bolivia","BOL",6449.5774419564
"Brazil","BRA",16155.0594788875
"Barbados","BRB",13447.6577185748
"Brunei Darussalam","BRN",75699.7171487644
"Bhutan","BTN",7861.612985017
"Botswana","BWA",17531.455237345
"Central African Republic","CAF",606.1647717565
"Canada","CAN",44088.5404485529
"Switzerland","CHE","-99"
"Chile","CHL",22333.1064030166
"China","CHN",13216.5418907598
"Cote d'Ivoire","CIV",3484.3752106165
"Cameroon","CMR",2965.1416349829
"Congo, Dem. Rep.","COD",805.1326265446
"Congo, Rep.","COG",6189.3246725835
"Colombia","COL",13046.4021185729
"Comoros","COM",1528.9482716806
"Cabo Verde","CPV",6648.475306754
"Costa Rica","CRI",14373.8024716896
"Cuba","CUB","-99"
"Curacao","CUW","-99"
"Cayman Islands","CYM","-99"
"Cyprus","CYP",30873.184280466
"Czech Republic","CZE",30444.9498099358
"Germany","DEU",45615.8111934761
"Djibouti","DJI",3161.2857286475
"Dominica","DMA",10698.5020994305
"Denmark","DNK",44862.5039799774
"Dominican Republic","DOM",13107.3473466794
"Algeria","DZA",13814.4373021551
"Ecuador","ECU",11293.1546830108
"Egypt, Arab Rep.","EGY",11311.9526074272
"Eritrea","ERI",1195.4354794518
"Spain","ESP",33763.3936623104
"Estonia","EST",26355.3680911883
"Ethiopia","ETH",1500.8583054393
"Finland","FIN",39754.4852404505
"Fiji","FJI",8107.2804102588
"France","FRA",38850.7164455953
"Faeroe Islands","FRO","-99"
"Micronesia, Fed. Sts.","FSM","-99"
"Gabon","GAB",18775.3621288769
"United Kingdom","GBR",39136.7742364325
"Georgia","GEO",7581.9783949897
"Ghana","GHA",4143.115078231
"Guinea","GIN",1236.0904461832
"Gambia, The","GMB",1629.6586458996
"Guinea-Bissau","GNB",1428.9570337243
"Equatorial Guinea","GNQ",32266.6759797245
"Greece","GRC",26098.8113343383
"Grenada","GRD",11949.4006354541
"Greenland","GRL","-99"
"Guatemala","GTM",7526.9158192771
"Guam","GUM","-99"
"Guyana","GUY",6860.6884836308
"Hong Kong SAR, China","HKG",55084.2448114704
"Honduras","HND",4416.9612963949
"Croatia","HRV",21252.2999827572
"Haiti","HTI",1750.1098756902
"Hungary","HUN",24498.4942795381
"Indonesia","IDN",10585.3596950023
"India","IND",5833.2531125549
"Ireland","IRL",47803.9646964521
"Iran, Islamic Rep.","IRN",16323.3439292629
"Iraq","IRQ",14694.0312035935
"Iceland","ISL",43392.5495967192
"Israel","ISR",33072.3989874474
"Italy","ITA",34757.8406643675
"Jamaica","JAM","-99"
"Jordan","JOR",12050.3097842692
"Japan","JPN",36426.3022068977
"Kazakhstan","KAZ",24204.6669607515
"Kenya","KEN",2909.8168928719
"Kyrgyz Republic","KGZ",3322.2194311555
"Cambodia","KHM",3242.3125859645
"Kiribati","KIR",1910.2298471047
"St. Kitts and Nevis","KNA",22733.1463217425
"Korea, Rep.","KOR",34355.7298411274
"Kuwait","KWT","-99"
"Lao PDR","LAO",5162.3022707115
"Lebanon","LBN",17603.4085356582
"Liberia","LBR",979.2297455064
"Libya","LBY",15604.5451172188
"St. Lucia","LCA",10395.4469510882
"Liechtenstein","LIE","-99"
"Sri Lanka","LKA",10527.5304871991
"Lesotho","LSO",2614.2804611248
"Lithuania","LTU",26642.7612042623
"Luxembourg","LUX","-99"
