"FACID"	"bing_type"	"bing_confidence"	"bing_latitude"	"bing_longitude"	"address"
30000134	"Address"	"High"	38.7651405334	-121.249786377	"1 MEDICAL PLAZA DR, ROSEVILLE CA 95661"
960000300	"Address"	"High"	34.1332015991	-118.1510543823	"10 CONGRESS ST, PASADENA CA 91105"
960000301	"Address"	"High"	34.1332015991	-118.1510543823	"10 CONGRESS ST, PASADENA CA 91105"
110001055	"Address"	"High"	37.8990135193	-122.5377731323	"10 WILLOW ST., MILL VALLEY CA 94941"
630013786	"Address"	"High"	37.9748573303	-122.0617218018	"1000 BURNETT AVENUE, CONCORD CA 94520"
630015839	"Address"	"High"	33.2086868286	-117.2297592163	"1000 VALE TERRACE DRIVE, VISTA CA 92084"
110000417	"Address"	"High"	38.356494	-121.953392	"1001 NUT TREE ROAD, SUITE #130, VACAVILLE CA 95687"
250000346	"Address"	"High"	33.7643303722	-116.971886158	"1005 N. STATE STREET, HEMET CA 92343"
110000084	"Address"	"High"	38.3570022583	-122.0040664673	"101 S ORCHARD AVE, VACAVILLE CA 95688"
960002755	"Address"	"High"	34.1789512634	-118.3098297119	"101 S. FIRST STREET, SUITE 1400, BURBANK CA 91502"
630014447	"Address"	"High"	33.944568634	-118.0803070068	"10100 PIONEER BLVD., SANTA FE SPRINGS CA 90248"
120001626	"Address"	"High"	36.2983055115	-119.1318283081	"1014 SAN JUAN, STE A, EXETER CA 93221"
960002172	"Address"	"High"	34.128286019	-118.1503804028	"1017 S FAIR OAKS, PASADENA CA 91105"
960002166	"Address"	"High"	34.0892906189	-118.3618774414	"1019 N  FAIRFAX SUITE 101, LOS ANGELES CA 90046"
90000950	"Address"	"High"	32.73021698	-116.9708557129	"10225 AUSTIN DR. #204, SPRING VALLEY CA 91978"
240001025	"Address"	"High"	34.4369338453	-117.3258706927	"10275 CYPRESS AVENUE, ROOM 90, HESPERIA CA 92345"
70000537	"Address"	"High"	37.317142	-122.031173	"10320 SOUTH DE ANZA BLVD., #1A, CUPERTINO CA 95014"
70000705	"Address"	"High"	37.317142	-122.031173	"10430 SOUTH DE ANZA BLVD, SUITE 170, CUPERTINO CA 95014"
960000302	"Address"	"High"	34.1277911514	-118.1502617151	"1044 S FAIR OAKS AVE, PASADENA CA 91105"
630014027	"Address"	"High"	38.5856547207	-121.2990557402	"10495 WHITE ROCK RD, RANCHO CORDOVA CA 95670"
630014028	"Address"	"High"	38.6781594157	-121.1648567766	"105 DEAN WAY, FOLSOM CA 95630"
100001207	"Address"	"High"	38.5845603943	-121.400604248	"1050 FULTON AVE, SACRAMENTO CA 95864"
240000931	"Address"	"High"	34.0824316442	-117.379097119	"1050 S. LILAC AVE., BUILDING D-4, RIALTO CA 92376"
140000136	"Address"	"High"	37.9574775696	-122.0257644653	"1050 SAN MIGUEL ROAD, CONCORD CA 94518"
110000521	"Address"	"High"	39.3077965826	-123.7980289757	"10520 HOWARD ST, MENDOCINO CA 95460"
960000292	"Address"	"High"	34.262451	-118.466659	"10550 SEPULVEDA BLVD   SUITE 117, MISSION HILLS CA 91345"
960001088	"Address"	"High"	33.863613	-118.388565	"1060 S. AVIATION BLVD., HERMOSA BEACH CA 90254"
60000230	"Address"	"High"	33.9397682995	-118.3089780808	"10616 S. WESTERN AVENUE, LOS ANGELES CA 90047"
960002428	"Address"	"High"	34.0390737355	-117.9496411979	"1064 N HACIENDA BLVD, LA PUENTE CA 91744"
960002754	"Address"	"High"	34.264209	-118.520095	"10667 WHITE OAK AVE, GRANADA HILLS CA 91344"
960000331	"Address"	"High"	34.264209	-118.520095	"10667 WHITE OAK AVENUE, GRANADA HILLS CA 91344"
40000564	"Address"	"High"	36.8592616171	-119.764258191	"1070 EAST TEAGUE, FRESNO CA 93710"
960000264	"Address"	"High"	34.265888	-118.519111	"10718 WHITE OAK  SUITE 2, GRANADA HILLS CA 91344"
90000868	"Address"	"High"	32.781131	-115.564529	"1073 W. ROSS AVENUE, STE.F, EL CENTRO CA 92243"
70000498	"Address"	"High"	37.3468971252	-121.869468689	"1075 E. SANTA CLARA, SAN JOSE CA 95116"
960000310	"Address"	"High"	34.0502624512	-118.43384552	"10780 SANTA MONICA BLVD   110, LOS ANGELES CA 90025"
70000460	"Address"	"High"	36.6603530198	-121.658481136	"1083 SOUTH MAIN ST., SALINAS CA 93901"
120001571	"Address"	"High"	36.336929	-119.292984	"109 N. W. 2ND ST., VISALIA CA 93291"
120001569	"Address"	"High"	36.3213566691	-119.6446926892	"109 WEST SECOND STREET, VISALIA CA 93291"
110000276	"Address"	"High"	38.4768867493	-123.0553741455	"11 MOSSWOOD CIRCLE, CAZADERO CA 95462"
140000465	"Address"	"High"	37.9114151001	-122.0433731079	"110 LA CASA VIA, WALNUT CREEK CA 94598"
30001064	"Address"	"High"	38.7245903015	-120.7911834717	"1100 MARSHALL WAY, PLACERVILLE CA 95667"
40000529	"Address"	"High"	36.3281849027	-119.6619004011	"1100 W. LACEY BLVD., HANFORD CA 93230"
