"FACID","NAME","TYPE","LTC","CAPACITY","ADDRESS","CITY","ZIP","FACADMIN","CONTACT_EMAIL","CONTACT_FAX","CONTACT_PHONE_NUMBER","COUNTY_NAME","COUNTY_CODE","DISTRICT_NUMBER","DISTRICT_NAME","LICENSE_NUMBER","INITIAL_LICENSE_DATE","LICENSE_EFFECTIVE_DATE","OSHPD_NUMBER","LATITUDE","LONGITUDE","LOCATION"
10000024,"GRANADA REHAB & WENNESS CENTER, LP","SKILLED NURSING FACILITY","LTC",87,"2885 HARRIS ST","EUREKA",95503,"BRASIER, ALICE","administrator@granadarehabwc.com","(707) 441-8446","(707) 443-1627",110,"HUMBOLDT",11,"SANTA ROSA/REDWOOD COAST",10000015,"01Apr1979","01Nov2014","206120955",40.7811088562,-124.1355056763,""
20000037,"GATEWAY CARE & REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",99,"26660 PATRICK AVENUE","HAYWARD",94544,"Montijo, Nathalie","","(510) 782-9913","(510) 782-1845",0,"ALAMEDA",2,"EAST BAY",20000205,"","01Nov2014","206013647",37.6404266357,-122.0802154541,""
20000094,"PARK CENTRAL CARE AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",99,"2100 PARKSIDE DRIVE","FREMONT",94536,"Alcober, Edna M","bsing@thekkek.com","(510) 797-3767","(510) 797-5300",0,"ALAMEDA",2,"EAST BAY",20000082,"","02Nov2014","206010912",37.5585892797,-121.9804052264,""
20000112,"KYAKAMEENA CARE CENTER","SKILLED NURSING FACILITY","LTC",60,"2131 CARLETON STREET","BERKELEY",94704,"Nacion, Christine","","(510) 843-0133","(510) 843-2131",0,"ALAMEDA",2,"EAST BAY",20000055,"01Mar2001","02Mar2015","206010863",37.8617401123,-122.2652282715,""
30000046,"WINDSOR EL CAMINO CARE CENTER","SKILLED NURSING FACILITY","LTC",178,"2540 CARMICHAEL WAY","CARMICHAEL",95608,"Hammam, Tighe","info@windsorcares.com","(916) 482-7813","(916) 482-0465",440,"SACRAMENTO",3,"SACRAMENTO",30000032,"30Mar1962","01Apr2015","206340862",38.6110572815,-121.3269805908,""
30000108,"SUTTER AMADOR HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",52,"200 MISSION BLVD","JACKSON",95642,"Platt, Anne","platta@sutterhealth.org","(209) 223-7454","(209) 223-7500",20,"AMADOR",3,"SACRAMENTO",30000008,"01May1979","01Nov2014","106034002",38.3507270813,-120.7646789551,""
30000112,"SUTTER MEMORIAL HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",348,"5151 F ST","SACRAMENTO",95819,"Maas, Larry","owenca@sutterhealth.org","(916) 733-8894","(916) 454-3333",440,"SACRAMENTO",3,"SACRAMENTO",30000102,"01Jan1946","31May2015","106341052",38.5707087815,-121.4398301393,""
30000134,"SUTTER ROSEVILLE MEDICAL CENTER","GENERAL ACUTE CARE HOSPITAL","Non-LTC",328,"1 MEDICAL PLAZA DR","ROSEVILLE",95661,"Brady, Patrick  R","bradyp@sutterhealth.org","(916) 781-1201","(916) 781-1000",410,"PLACER",3,"SACRAMENTO",30000083,"29Oct1952","31May2015","106311000",38.7651405334,-121.249786377,""
30000151,"SUTTER GENERAL HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",298,"2801 L ST","SACRAMENTO",95816,"Owen Plietz, Carrie","owenca@sutterhealth.org","(916) 733-8894","(916) 454-2222",440,"SACRAMENTO",3,"SACRAMENTO",30000102,"01Jan1946","31May2015","106341051",38.5720176697,-121.46925354,""
30000530,"OAK RIDGE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",67,"310 OAK RIDGE DR","ROSEVILLE",95661,"Pollock, Jason","","(916) 782-1283","(916) 782-3188",410,"PLACER",3,"SACRAMENTO",30000302,"12Nov1963","01Nov2014","206312216",38.7420158386,-121.2701797485,""
30001064,"MARSHALL MEDICAL CENTER D/P SNF","SKILLED NURSING FACILITY","LTC",14,"1100 MARSHALL WAY","PLACERVILLE",95667,"Whipple, James","","(530) 626-2708","(530) 622-1441",80,"EL DORADO",3,"SACRAMENTO",30000059,"22May1959","09Jun2015","",38.7245903015,-120.7911834717,""
30001812,"WOODLAND SKILLED NURSING FACILITY","SKILLED NURSING FACILITY","LTC",91,"678 3RD ST","WOODLAND",95695,"Ellis-Sherinian, James","","(530) 662-3395","(530) 662-9643",670,"YOLO",3,"SACRAMENTO",30000003,"23Sep1969","16Jan2015","206571087",38.6722259521,-121.7713165283,""
30001821,"WOODSIDE HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",58,"2240 NORTHROP AVE","SACRAMENTO",95825,"Pollock, Jason G","","(916) 927-3630","(916) 927-9300",440,"SACRAMENTO",3,"SACRAMENTO",30000068,"21Apr1971","31Mar2015","206340960",38.5811233521,-121.4133987427,""
40000049,"GOLDEN LIVING CENTER - HY-LOND","SKILLED NURSING FACILITY","LTC",121,"3408 E SHIELDS AVE","FRESNO",93726,"Mcquone, Lisa","kenneth_evans@beverlycares.com","(559) 227-4097","(559) 227-4063",90,"FRESNO",4,"FRESNO",40000106,"","01May2015","206100731",36.7788848877,-119.767791748,""
60001255,"SOUTH COAST GLOBAL MEDICAL CENTER, INC. D/P SNF","SKILLED NURSING FACILITY","LTC",46,"2701 S BRISTOL ST","SANTA ANA",92704,"Tharasri, Luke","","","(714) 754-5454",400,"ORANGE",6,"ORANGE COUNTY",60000143,"07Jun1973","01May2015","",33.7102546692,-117.8849258423,""
100000002,"UNIVERSITY POST-ACUTE REHAB","SKILLED NURSING FACILITY","LTC",59,"2120 STOCKTON BLVD","SACRAMENTO",95817,"Bake, Jared","","(916) 452-8650","(916) 452-6631",440,"SACRAMENTO",3,"SACRAMENTO",100000110,"01Aug1967","20Mar2015","206341069",38.5580406189,-121.4619140625,""
100000039,"WINDSOR HAMPTON CARE CENTER","SKILLED NURSING FACILITY","LTC",120,"442 E HAMPTON ST","STOCKTON",95204,"Braley, Keith G","abigelow@windsorcares.com","(209) 466-8140","(209) 466-0456",490,"SAN JOAQUIN",3,"SACRAMENTO",100000148,"01Feb1986","01Apr2015","206392202",37.9747657776,-121.2919769287,""
100000048,"WINDSOR ELK GROVE CARE AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",136,"9461 BATEY AVE","ELK GROVE",95624,"Gordon, Yvonne","dprice@windsorcares.com","(916) 685-3373","(916) 685-9525",440,"SACRAMENTO",3,"SACRAMENTO",100000001,"07Apr1964","01Apr2015","206340864",38.4132041931,-121.3599853516,""
100000084,"PIIONEER HOUSE","SKILLED NURSING FACILITY","LTC",49,"415 P ST","SACRAMENTO",95814,"Whitehouse, Geeske ""Kate""","pioneerhouse@rhf.org","(916) 442-8665","(916) 442-4906",440,"SACRAMENTO",3,"SACRAMENTO",100000072,"08Sep1966","01Nov2014","206340980",38.5759544373,-121.5034866333,""
100000086,"PLYMOUTH SQUARE","SKILLED NURSING FACILITY","LTC",38,"1319 N MADISON ST","STOCKTON",95202,"Noss, Dennis","","(209) 466-8853","(209) 466-4341",490,"SAN JOAQUIN",3,"SACRAMENTO",100000076,"19Jan1970","01Nov2014","206390987",37.9651374817,-121.2977600098,""
100000104,"VIENNA NURSING AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",150,"800 S HAM LN","LODI",95242,"Wright, Corey","cwright@viennanursingrehab.com","(209) 368-2163","(209) 368-7141",490,"SAN JOAQUIN",3,"SACRAMENTO",100000111,"23Feb1963","01Nov2014","206391070",38.1241264343,-121.2876815796,""
100000814,"WAGNER HEIGHTS NURSING AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",152,"9289 BRANSTETTER PL","STOCKTON",95209,"Pantovich, Jeremy D","jpantovich2@covenantcare.com","(209) 474-0569","(209) 477-5252",490,"SAN JOAQUIN",3,"SACRAMENTO",100000355,"05Dec1988","13Jan2015","206394006",38.0344047546,-121.3472976685,""
100001676,"UNIVERSITY RETIREMENT COMMUNITY AT DAVIS","SKILLED NURSING FACILITY","LTC",37,"1515 SHASTA DR","DAVIS",95616,"Castillo, Alika J","acastillo@retirement.org","(530) 747-7032","(530) 747-7000",670,"YOLO",3,"SACRAMENTO",100000703,"27Mar2000","27Nov2014","206574013",38.5597229004,-121.7743530273,""
110000084,"ORCHARD POST ACUTE CARE","SKILLED NURSING FACILITY","LTC",87,"101 S ORCHARD AVE","VACAVILLE",95688,"White, Theresa M","scheatham@thekkek.com","(707) 448-4403","(707) 448-6458",580,"SOLANO",11,"SANTA ROSA/REDWOOD COAST",110000087,"06Aug1965","19May2015","206481105",38.3570022583,-122.0040664673,""
110000233,"SONOMA VALLEY HOSPITAL D/P SNF","SKILLED NURSING FACILITY","LTC",27,"347 ANDRIEUX ST","SONOMA",95476,"Mather, Kelly","administration@svh.com","(707) 935-5433","(707) 935-5000",590,"SONOMA",11,"SANTA ROSA/REDWOOD COAST",110000072,"26Jul1957","01Nov2014","",38.2881011963,-122.4653244019,""
140000030,"SAN PABLO HEALTHCARE AND WELLNESS CENTER","SKILLED NURSING FACILITY","LTC",108,"13328 SAN PABLO AVENUE","SAN PABLO",94806,"McKenna, Robert","administrator@sanpablohc.com","(510) 237-6481","(510) 235-3720",60,"CONTRA COSTA",2,"EAST BAY",140000079,"01Oct2001","04May2015","206070905",37.9545555115,-122.3336257935,""
140000034,"HIGHLAND HOSPITAL","GENERAL ACUTE CARE HOSPITAL","Non-LTC",206,"1411 E 31ST STREET","OAKLAND",94602,"Jackson, James","kbashaw@acmedctr.org","(510) 436-5643","(510) 437-4800",0,"ALAMEDA",2,"EAST BAY",140000046,"","01Nov2014","106010846",37.7991773933,-122.231066376,""
140000078,"TAMPICO TERRACE CARE CENTER","SKILLED NURSING FACILITY","LTC",128,"130 TAMPICO STREET","WALNUT CREEK",94598,"Rivera, Brian","brian@tampicoterrace.com","(925) 256-1676","(925) 933-7970",60,"CONTRA COSTA",2,"EAST BAY",140000138,"","04Nov2014","206071061",37.9106140137,-122.0449676514,""
140000121,"WILLOW PASS HEALTHCARE CENTER","SKILLED NURSING FACILITY","LTC",83,"3318 WILLOW PASS ROAD","CONCORD",94519,"Ephrem, Binoy","","(925) 691-1728","(925) 689-9222",60,"CONTRA COSTA",2,"EAST BAY",140000259,"01Nov2003","01Nov2014","206070962",37.9822463989,-122.0168838501,""
140000136,"SAN MIGUEL VILLA","SKILLED NURSING FACILITY","LTC",190,"1050 SAN MIGUEL ROAD","CONCORD",94518,"Pierce, Velda C","velda@tranquilityinconline.com","(925) 676-1649","(925) 825-4280",60,"CONTRA COSTA",2,"EAST BAY",140000186,"","29Nov2014","206073625",37.9574775696,-122.0257644653,""
