"iso_a3","gdp_percap"
"ABW",-99
"AFG",1967.08345686559
"AGO",7909.87623742806
"ALB",10428.4558717232
"AND",-99
"ARE",63497.0526751315
"ARG",-99
"ARM",8137.53028650576
"ASM",-99
"ATG",21799.0807053732
"AUS",43901.5548535076
"AUT",46164.9443210062
"AZE",17515.6237584099
"BDI",794.419758598401
"BEL",42725.3105650476
"BEN",1864.53647543123
"BFA",1683.82428097388
"BGD",3135.50221199609
"BGR",16323.8400000049
"BHR",46081.8572044015
"BHS",23520.7811495437
"BIH",9904.17583588413
"BLR",18184.8635799703
"BLZ",-99
"BMU",-99
"BOL",6449.57744195644
"BRA",16155.0594788875
"BRB",13447.6577185748
"BRN",75699.7171487644
"BTN",7861.61298501699
"BWA",17531.455237345
"CAF",606.164771756523
"CAN",44088.5404485529
"CHE",-99
"CHL",22333.1064030166
"CHN",13216.5418907598
"CIV",3484.37521061645
"CMR",2965.14163498289
"COD",805.132626544628
"COG",6189.32467258349
"COL",13046.4021185729
"COM",1528.94827168061
"CPV",6648.47530675397
"CRI",14373.8024716896
"CUB",-99
"CUW",-99
"CYM",-99
"CYP",30873.184280466
"CZE",30444.9498099358
"DEU",45615.8111934761
"DJI",3161.28572864749
"DMA",10698.5020994305
"DNK",44862.5039799774
"DOM",13107.3473466794
"DZA",13814.4373021551
"ECU",11293.1546830108
"EGY",11311.9526074272
"ERI",1195.43547945178
"ESP",33763.3936623104
"EST",26355.3680911883
"ETH",1500.85830543927
"FIN",39754.4852404505
"FJI",8107.2804102588
"FRA",38850.7164455953
"FRO",-99
"FSM",-99
"GAB",18775.3621288769
"GBR",39136.7742364325
"GEO",7581.9783949897
"GHA",4143.11507823102
"GIN",1236.09044618319
"GMB",1629.65864589959
"GNB",1428.95703372433
"GNQ",32266.6759797245
"GRC",26098.8113343383
"GRD",11949.4006354541
"GRL",-99
"GTM",7526.91581927714
"GUM",-99
"GUY",6860.68848363077
"HKG",55084.2448114704
"HND",4416.96129639493
"HRV",21252.2999827572
"HTI",1750.10987569018
"HUN",24498.4942795381
"IDN",10585.3596950023
"IND",5833.2531125549
"IRL",47803.9646964521
"IRN",16323.3439292629
"IRQ",14694.0312035935
"ISL",43392.5495967192
"ISR",33072.3989874474
"ITA",34757.8406643675
"JAM",-99
"JOR",12050.3097842692
"JPN",36426.3022068977
"KAZ",24204.6669607515
"KEN",2909.81689287188
"KGZ",3322.21943115552
"KHM",3242.31258596449
"KIR",1910.22984710466
"KNA",22733.1463217425
"KOR",34355.7298411274
"KWT",-99
"LAO",5162.30227071148
"LBN",17603.4085356582
"LBR",979.229745506387
"LBY",15604.5451172188
"LCA",10395.4469510882
"LIE",-99
"LKA",10527.5304871991
"LSO",2614.28046112479
"LTU",26642.7612042623
"LUX",-99
"LVA",23337.3769608016
"MAC",140358.133504513
"MAF",-99
"MAR",7379.06532762193
"MCO",-99
"MDA",4982.63880922925
"MDG",1436.69044937797
"MDV",14774.1614816627
"MEX",17166.9673283602
"MHL",-99
"MKD",12937.9176522711
"MLI",1733.00400113402
"MLT",-99
"MMR",-99
"MNE",14323.2559986056
"MNG",12063.6255588377
"MNP",-99
"MOZ",1169.04703539281
"MRT",3897.19447543685
"MUS",18585.4118605515
"MWI",815.070406218171
"MYS",24714.8434689013
"NAM",9963.66288297787
"NCL",-99
"NER",967.040498400889
"NGA",5876.76361652482
"NIC",4794.4169279478
"NLD",47130.7122026171
"NOR",64893.0556438342
"NPL",2374.60273523732
"NZL",-99
"OMN",-99
"PAK",4841.90301485708
"PAN",20583.4697160416
"PER",12068.845413325
"PHL",6915.63145069855
"PLW",14756.6672024841
"PNG",-99
"POL",24882.3434867965
"PRI",-99
"PRK",-99
"PRT",28326.8065905497
"PRY",8424.9630234265
"PYF",-99
"QAT",139999.648707143
"ROU",19401.3496181683
"RUS",25635.8511574432
"RWA",1556.459832621
"SAU",54606.5684841442
"SDN",4130.3883772216
"SEN",2311.9066180625
"SGP",82763.3576508157
"SLB",2127.85741349027
"SLE",2053.39503719898
"SLV",7980.3094253189
"SMR",-99
"SOM",-99
"SRB",12659.6698906358
"SSD",2698.34564313403
"STP",3064.11217365104
"SUR",-99
"SVK",27584.7479180411
"SVN",29917.0303860182
"SWE",45143.5233249951
"SWZ",6349.70616714637
"SXM",-99
"SYC",26244.526923434
"SYR",-99
"TCA",-99
"TCD",2244.13100337383
"TGO",1453.73019733304
"THA",14660.5526876512
"TJK",2654.55941908365
"TKM",15473.629292087
"TON",5201.45427252453
"TTO",-99
"TUN",-99
"TUR",19250.2533644942
"TUV",-99
"TWN",-99
"TZA",2591.1529577296
"UGA",1717.43313926052
"UKR",8665.48387526418
"URY",20889.2814236194
"USA",54629.4951678912
"UZB",5575.86670745799
"VCT",10619.1785038494
"VEN",17468.6739911072
"VIR",-99
"VNM",5628.95076786724
"VUT",-99
"WSM",5791.24134291514
"YEM",-99
"ZAF",13046.2078345435
"ZMB",4086.04611240355
"ZWE",1858.59882946915
