"iso_a3","country","year","region","income_group","gdp_percap","life_expect","population","birth_rate","neonat_mortal"
"ABW","Aruba",1990,"Latin America & Caribbean","High income",,73.3899756097561,62148,19.571,
"ABW","Aruba",1991,"Latin America & Caribbean","High income",,73.4331219512195,64623,19.021,
"ABW","Aruba",1992,"Latin America & Caribbean","High income",,73.471756097561,68235,18.446,
"ABW","Aruba",1993,"Latin America & Caribbean","High income",,73.5053170731707,72498,17.859,
"ABW","Aruba",1994,"Latin America & Caribbean","High income",,73.535756097561,76700,17.27,
"ABW","Aruba",1995,"Latin America & Caribbean","High income",,73.5636097560976,80326,16.692,
"ABW","Aruba",1996,"Latin America & Caribbean","High income",,73.5894390243902,83195,16.135,
"ABW","Aruba",1997,"Latin America & Caribbean","High income",,73.6148048780488,85447,15.603,
"ABW","Aruba",1998,"Latin America & Caribbean","High income",,73.6422926829268,87276,15.099,
"ABW","Aruba",1999,"Latin America & Caribbean","High income",,73.6753902439025,89004,14.627,
"ABW","Aruba",2000,"Latin America & Caribbean","High income",,73.7206097560976,90858,14.187,
"ABW","Aruba",2001,"Latin America & Caribbean","High income",,73.7829024390244,92894,13.776,
"ABW","Aruba",2002,"Latin America & Caribbean","High income",,73.865243902439,94995,13.387,
"ABW","Aruba",2003,"Latin America & Caribbean","High income",,73.9685609756098,97015,13.015,
"ABW","Aruba",2004,"Latin America & Caribbean","High income",,74.0908536585366,98742,12.657,
"ABW","Aruba",2005,"Latin America & Caribbean","High income",,74.2280731707317,100031,12.312,
"ABW","Aruba",2006,"Latin America & Caribbean","High income",,74.3757073170732,100830,11.977,
"ABW","Aruba",2007,"Latin America & Caribbean","High income",,74.526243902439,101219,11.653,
"ABW","Aruba",2008,"Latin America & Caribbean","High income",,74.6742195121951,101344,11.346,
"ABW","Aruba",2009,"Latin America & Caribbean","High income",,74.8161463414634,101418,11.06,
"ABW","Aruba",2010,"Latin America & Caribbean","High income",,74.9520243902439,101597,10.804,
"ABW","Aruba",2011,"Latin America & Caribbean","High income",36016.4837574639,75.0803902439025,101932,10.584,
"ABW","Aruba",2012,"Latin America & Caribbean","High income",,75.206756097561,102384,10.409,
"ABW","Aruba",2013,"Latin America & Caribbean","High income",,75.3321707317073,102911,10.28,
"ABW","Aruba",2014,"Latin America & Caribbean","High income",,,103431,,
"AFG","Afghanistan",1990,"South Asia","Low income",,48.5670487804878,11731193,50.467,51.4
"AFG","Afghanistan",1991,"South Asia","Low income",,49.4045609756098,12612043,50.472,50.2
"AFG","Afghanistan",1992,"South Asia","Low income",,50.2131219512195,13811876,50.546,49.1
"AFG","Afghanistan",1993,"South Asia","Low income",,50.985243902439,15175325,50.675,48.1
"AFG","Afghanistan",1994,"South Asia","Low income",,51.7093902439024,16485018,50.833,47.3
"AFG","Afghanistan",1995,"South Asia","Low income",,52.3750731707317,17586073,50.978,46.6
