"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"1785833",-122.337733175,37.9761543274,2005,"0710","0","6","3","09",0,1,"B",,,,,,2400,1,"D","C","A","ROBERT H  MILLER","BIRMINGHAM AV",0,,"Y","2005-06-03",710,"2005-01-01",2100,"1220",,"5","5","0","0",,"0",,"C","N",,0,0,,,0,,,,"Y",2,"A","-",21802,"A","M","B","H","-","C","A","0","Y","-","-",0,1,0,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1785837",-122.344543172,37.939666748,2005,"0710","0","7","4","09",0,2,"B",,,,,,1200,1,"D","C","A","ROOSEVELT AV","25TH ST",0,,"Y","2005-05-26",710,"2005-01-02",1135,"1242",,"5","5","0","0",,"0",,"C","N",,0,0,,,0,,,,"Y",2,"A","-",21800,"A","N","B","H","-","A","A","0","Y","A",,0,0,2,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1785883",-122.347521348,37.9414215088,2005,"0710","0","6","4","09",0,1,"C",,,,,,1500,1,"D","C","A","23RD ST","GRANT AV",6,"N","N","2005-06-03",710,"2005-01-01",1300,"1401","NE","5","5","0","0",,"0","010","-","N",,0,0,,,0,,,,"N",2,"A","-",21802,"A","N","B","H","-","A","A","0","Y","A",,0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1785899",-122.323523165,37.9141159058,2005,"0710","0","7","4","12",0,2,"B",,,,,,1500,1,"D","C","A","CARLSON BL","BAYVIEW AV",0,,"Y","2005-06-15",710,"2005-01-02",1435,"1220",,"5","5","0","0",,"0",,"C","N",,0,0,,,0,,,,"Y",4,"A","-",21453,"A","N","B","H","-","A","A","0","Y","-","-",0,0,2,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1830750",-122.324561104,37.940150183,2005,"0710","1","7","4","18",0,1,"B",,,,,,1500,1,"E","J","A","RT 80","SAN PABLO AV",1056,"E","N","2005-08-04",9370,"2005-01-02",1438,"01721",,"2","5","0","1",,"2","082","C","Y","CC",4,80,"-","-",3.19,"H","-","E","N",1,"C","-",0,,"N","B","H","-","A","D","6","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1847892",-122.31565939,37.9841904,2005,"0710","1","5","4","04",0,2,"B",,,,,,1800,1,"C","C","A","RT 80","RICHMOND PKY",1584,"W","N","2005-08-03",9370,"2005-01-14",1510,"01721",,"2","5","0","1",,"2","083","-","Y","CC",4,80,"-","-",6.6,"H","-","E","Y",3,"A","-",21703,,"N","A","H","-","A","D","6","Y","D","22",0,0,2,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1847933",-122.318009431,37.977646452,2005,"0710","1","5","4","03",0,4,"B",,,,,,900,1,"C","C","A","RT 80","HILLTOP DR",450,"E","N","2005-08-04",9370,"2005-01-14",834,"13534",,"1","5","0","1",,"2","083","-","Y","CC",4,80,"-","-",6.08,"H","-","W","Y",4,"A","-",22350,,"M","A","H","-","A","D","6","Y","A","01",0,0,4,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1857352",-122.335463176,37.9859542847,2005,"0710","0","1","4","07",0,1,"A",,,,,,1200,1,"B","C","A","SAN PABLO AV","HILLTOP DR",0,,"Y","2005-05-03",710,"2005-01-24",1100,"1229",,"5","5","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",2,"A","-",21658,"A","N","A","H","-","A","D","0","Y","-","-",0,0,1,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1863742",-122.324243168,37.930355007,2005,"0710","1","6","4","03",0,2,"A",,,,,,1500,1,"C","C","A","RT 80","MACDONALD AV",20,"E","N","2005-07-25",9370,"2005-01-15",1255,"01760",,"1","5","0","1",,"2","082","-","Y","CC",4,80,"-","-",2.558,"R","1","E","Y",2,"A","-",22350,,"N","A","H","-","A","D","6","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
"1868248",-122.34270741,37.9350585938,2005,"0710","0","6","4","11",0,1,"A","Y",,,,,1800,2,"A","B","D","MACDONALD AV","27TH ST",72,"E","N","2005-06-24",710,"2005-02-12",1600,"1220",,"5","5","0","0",,"0",,"-","N",,0,0,,,0,,,,"N",2,"A","-",21956,,"N","A","H","-","A","A","0","Y","N","60",0,0,1,0,1,0,0,0,0,"-","-","RICHMOND","CONTRA COSTA","CA",0,0
