"Year","Women median weekly earnings","Women workers (thousands)","Men median weekly earnings","Men workers (thousands)","Occupation","Type1","Type2","Type3"
2011,1464,245,2122,745,"Chief executives","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,972,270,1319,651,"General and operations managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,4,,9,"Legislators","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,40,,28,"Advertising and promotions managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1127,392,1660,499,"Marketing and sales managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,29,,33,"Public relations and fundraising managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,44,1170,71,"Administrative services managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1543,138,1595,392,"Computer and information systems managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,991,567,1504,477,"Financial managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,14,,7,"Compensation and benefits managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1273,149,1488,58,"Human resources managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,12,,24,"Training and development managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,45,1245,204,"Industrial production managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1026,89,1368,94,"Purchasing managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,33,861,196,"Transportation, storage, and distribution managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,17,855,81,"Farmers, ranchers, and other agricultural managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,31,1325,433,"Construction managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1061,467,1532,268,"Education administrators","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,7,1908,91,"Architectural and engineering managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,599,314,734,361,"Food service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,5,,4,"Funeral service managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,,7,,15,"Gaming managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,841,55,,36,"Lodging managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
2011,1166,325,1456,125,"Medical and health services managers","Management, professional, and related occupations","Management, business, and financial operations occupations","Management occupations"
