country,iso3c,gdp_percap
Andorra,AND,-99
United Arab Emirates,ARE,70245.9325004669
Afghanistan,AFG,1861.12433157969
Antigua and Barbuda,ATG,21415.7079476356
Albania,ALB,11504.7482377884
Armenia,ARM,8709.54108816243
Angola,AGO,6634.40227421076
Argentina,ARG,20337.7159452789
American Samoa,ASM,-99
Austria,AUT,49419.3300615875
Australia,AUS,46475.9277518569
Aruba,ABW,-99
Azerbaijan,AZE,17779.7737304396
Bosnia and Herzegovina,BIH,11687.0707484915
Barbados,BRB,16386.5361306413
Bangladesh,BGD,3335.33725502166
Belgium,BEL,45608.4292926868
Burkina Faso,BFA,1651.23267324752
Bulgaria,BGR,18248.8318642722
Bahrain,BHR,47333.8480296294
Burundi,BDI,796.994415365492
Benin,BEN,2115.79559915728
Bermuda,BMU,-99
Brunei Darussalam,BRN,79429.0000205702
Bolivia,BOL,6954.30176728424
Brazil,BRA,15615.3430536538
"Bahamas, The",BHS,23072.8147057111
Bhutan,BTN,8236.35647065197
Botswana,BWA,16350.4743355753
Belarus,BLR,18344.8161284303
Belize,BLZ,8583.13830062634
Canada,CAN,44204.9465819306
"Congo, Dem. Rep.",COD,799.076703882725
Central African Republic,CAF,666.958171946599
"Congo, Rep.",COG,5901.68260196761
Switzerland,CHE,62499.6371581513
Cote d'Ivoire,CIV,3461.60380991488
Chile,CHL,23579.4622742938
Cameroon,CMR,3184.81054163084
China,CHN,14448.2656184581
Colombia,COL,13825.9212560229
Costa Rica,CRI,15879.5967691064
Cuba,CUB,-99
Curacao,CUW,-99
Cyprus,CYP,31539.526825782
Czech Republic,CZE,33743.1909005461
Germany,DEU,47998.8626954879
Djibouti,DJI,3342.47732619926
Denmark,DNK,48980.7917333714
Dominica,DMA,10792.9615391951
Dominican Republic,DOM,14237.0579016719
Algeria,DZA,14612.6803900956
Ecuador,ECU,11474.1372191217
Estonia,EST,28946.7898902663
"Egypt, Arab Rep.",EGY,10749.0945599566
Eritrea,ERI,-99
Spain,ESP,34696.3362086457
Ethiopia,ETH,1632.34501265324
Finland,FIN,42275.239930189
Fiji,FJI,9323.15657157716
"Micronesia, Fed. Sts.",FSM,3497.6192619262
France,FRA,41178.141818639
Gabon,GAB,17926.4290871926
United Kingdom,GBR,41767.2896455746
Grenada,GRD,13558.7990689919
Georgia,GEO,9609.32602933432
Ghana,GHA,4184.04756382774
Gibraltar,GIB,-99
Greenland,GRL,-99
"Gambia, The",GMB,1691.00974386613
Guinea,GIN,1260.68464323588
Equatorial Guinea,GNQ,29000.9176476992
Greece,GRC,26357.9379571683
Guatemala,GTM,7764.77359410817
Guam,GUM,-99
Guinea-Bissau,GNB,1516.48438765422
Guyana,GUY,7520.03423187792
"Hong Kong SAR, China",HKG,56951.9637180909
Honduras,HND,4590.23694302484
Croatia,HRV,22488.7462183196
Haiti,HTI,1758.11173429076
Hungary,HUN,26436.2078029125
Indonesia,IDN,11038.7916402531
Ireland,IRL,67974.1632913954
Israel,ISR,36545.6989626502
Isle of Man,IMN,-99
