"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"4392532",2010,2010-02-10,"N","2340",3,"RT 880","ADELINE ST",1,2,"N",,,,"Y",0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.2985,37.80206
"4554661",2010,2010-01-04,"Y","1340",1,"MADISON ST","8TH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.26668,37.7974
"4554665",2010,2010-01-04,"Y","1154",1,"BROADWAY","RIDGEWAY",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25532,37.82986
"4554708",2010,2010-01-21,"N","0500",4,"UNION ST","3RD ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",,
"4557331",2010,2010-01-12,"Y","1533",2,"MARTIN LUTHER KING JR WY","11TH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27731,37.80416
"4557612",2010,2010-01-17,"N","0444",7,"BROADWAY","15TH ST",0,5,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27063,37.80524
"4558507",2010,2010-02-05,"N","2225",5,"INTERNATIONAL BL","81ST AV",0,2,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.18054,37.75605
"4558524",2010,2010-02-01,"Y","1230",1,"3RD AV","INTERNATIONAL BL",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25553,37.7972
"4562757",2010,2010-01-04,"N","1445",1,"45TH AV","SAN LEANDRO ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.21514,37.76985
"4563848",2010,2010-01-19,"N","0112",2,"RT 880","WEST GRAND AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.298,37.81614
"4563949",2010,2010-01-07,"N","1227",4,"18TH ST","POPLAR ST",0,1,"F",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.28779,37.81312
"4564079",2010,2010-01-20,"Y","0547",3,"7TH ST","PERALTA ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.29821,37.80606
"4564593",2010,2010-01-01,"Y","1700",5,"47TH AV","BOND ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.20928,37.77251
"4565217",2010,2010-01-17,"N","1402",7,"SHATTUCK AV","60TH ST",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.26528,37.84568
"4565241",2010,2010-01-11,"Y","0847",1,"109TH AV","MACARTHUR BL",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.14967,37.7413
