"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"2445348",2006,2006-01-12,"N","0915",4,"RT 80","CUTTING BL",0,2,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32126,37.92568
"2451812",2006,2006-01-25,"N","2200",3,"RT 80","RICHMOND PKY",0,3,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31461,37.98718
"2455078",2006,2006-01-09,"N","0710",1,"RT 80","SAN PABLO AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32483,37.93953
"2455100",2006,2006-01-12,"N","0920",4,"RT 80","CUTTING BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32126,37.92568
"2471012",2006,2006-01-23,"N","1959",1,"RHEEM AV","RHEEM AV 1900 BLK",0,2,"N",,,,"Y",0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",,
"2471016",2006,2006-01-19,"Y","1753",4,"HARBOUR WY","BARRETT AV",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36002,37.93837
"2471020",2006,2006-01-23,"Y","0900",1,"MCBRYDE AV","HUMBOLDT ST",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32682,37.94844
"2471040",2006,2006-01-22,"Y","1046",7,"HILLTOP DR","RT 80",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.31728,37.97987
"2471041",2006,2006-01-20,"Y","1010",5,"RICHMOND PKY","GARRARD BL",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.36756,37.94252
"2471042",2006,2006-02-04,"Y","1443",6,"HILLTOP MALL RD","GARRITY WY",0,1,"N",,,,,0,0,0,0,0,0,"CONTRA COSTA","RICHMOND",-122.32527,37.97897
