zip,year,city,median_income,median_income_moe,households,households_moe,households_poverty,households_poverty_moe,rent_index
94501,2011,ALAMEDA,69572,3725,24212,443,2347,344,2136
94501,2012,ALAMEDA,71096,2233,24405,417,2374,333,2136
94501,2013,ALAMEDA,69076,2126,24671,387,2692,398,2221
94501,2014,ALAMEDA,70935,1729,25121,458,2800,300,2502
94501,2015,ALAMEDA,72884,3608,25527,492,2750,331,3069
94501,2016,ALAMEDA,76787,3432,25507,453,2705,291,3316
94502,2011,ALAMEDA,113650,11432,4875,131,212,96,2363
94502,2012,ALAMEDA,115428,11144,5104,118,209,104,2415
94502,2013,ALAMEDA,105616,9719,5125,128,217,88,2455
94502,2014,ALAMEDA,105480,5802,5225,149,221,114,2822
94502,2015,ALAMEDA,109801,11533,5181,146,166,102,3187
94502,2016,ALAMEDA,115765,10185,5171,145,186,132,3439
94507,2011,ALAMO,150457,14648,5553,243,285,133,4655
94507,2012,ALAMO,149973,11952,5421,250,205,108,4909
94507,2013,ALAMO,160279,13849,5521,236,169,109,5002
94507,2014,ALAMO,163219,14582,5464,222,175,115,5266
94507,2015,ALAMO,165230,8020,5579,235,118,64,5957
94507,2016,ALAMO,172414,15404,5500,221,169,88,6183
94706,2011,ALBANY,73330,6869,7775,226,592,133,2253
94706,2012,ALBANY,74558,7223,7858,267,748,171,2157
94706,2013,ALBANY,81206,8831,7751,267,818,156,2151
94706,2014,ALBANY,81746,6853,7813,230,844,155,2499
94706,2015,ALBANY,80970,5817,7996,249,943,181,3112
94706,2016,ALBANY,86043,3541,7958,221,833,149,3335
95002,2011,ALVISO,83203,31516,517,52,98,60,
95002,2012,ALVISO,83125,28711,559,36,95,48,
95002,2013,ALVISO,70114,23720,540,73,81,44,
95002,2014,ALVISO,73333,13535,500,75,83,39,
95002,2015,ALVISO,72557,17487,543,55,58,33,
95002,2016,ALVISO,74516,10887,552,50,59,36,
94503,2011,AMERICAN CANYON,83176,6602,5420,294,231,99,2037
94503,2012,AMERICAN CANYON,82205,6232,5456,244,302,116,2341
94503,2013,AMERICAN CANYON,82746,3494,5653,208,350,112,2226
94503,2014,AMERICAN CANYON,81918,5941,5755,210,396,128,2228
94503,2015,AMERICAN CANYON,75885,6100,5861,217,575,148,2383
94503,2016,AMERICAN CANYON,83627,3136,5694,231,555,135,2561
94509,2011,ANTIOCH,55018,2076,19964,520,2972,446,1559
94509,2012,ANTIOCH,54441,2333,20595,518,3349,383,1574
94509,2013,ANTIOCH,53953,3814,20773,477,3469,402,1596
94509,2014,ANTIOCH,54372,3058,21230,458,3416,359,1641
94509,2015,ANTIOCH,53998,2904,21588,495,3820,345,1771
94509,2016,ANTIOCH,55022,2626,21443,541,3523,347,1929
94531,2011,ANTIOCH,93113,3716,11152,410,760,224,1928
94531,2012,ANTIOCH,90448,5692,11425,425,894,247,1894
94531,2013,ANTIOCH,87927,5970,11584,377,1010,289,1932
94531,2014,ANTIOCH,88693,7100,11799,383,1026,280,1987
94531,2015,ANTIOCH,88578,5652,12130,399,1023,245,2125
94531,2016,ANTIOCH,90126,4977,12533,348,1127,232,2286
94027,2011,ATHERTON,240833,41638,2308,155,130,71,10831
94027,2012,ATHERTON,218214,56561,2380,138,158,89,11308
