county,start_year,year,enrollment,dtp,polio,mmr,hepb,vari
Alameda,2001,2001-02,19392,18332,18497,18376,18739,18391
Alameda,2002,2002-03,18304,17314,17434,17408,17632,17642
Alameda,2003,2003-04,18161,17149,17239,17223,17569,17621
Alameda,2004,2004-05,18127,17099,17170,17140,17501,17586
Alameda,2005,2005-06,17718,16848,16903,16891,17227,17303
Alameda,2006,2006-07,18096,17047,17084,17139,17462,17549
Alameda,2007,2007-08,18196,17040,17139,17211,17604,17720
Alameda,2008,2008-09,17475,16313,16408,16438,16850,16984
Alameda,2009,2009-10,17933,16747,16878,16901,17348,17407
Alameda,2010,2010-11,17721,16559,16479,16688,17038,17193
Alameda,2011,2011-12,19576,18235,18256,18335,18767,18938
Alameda,2012,2012-13,19286,17463,17432,17828,17948,18122
Alameda,2013,2013-14,19633,17948,18098,18107,18455,18678
Alameda,2014,2014-15,20718,18945,19076,18950,19381,19608
Alameda,2015,2015-16,21587,20901,20967,20964,21023,21124
ALAMEDA,2016,2016-17,21910,21527,21602,21611,21584,21787
ALAMEDA,2017,2017-18,22307,21866,21951,21946,21995,22157
Alpine,2001,2001-02,26,23,23,23,26,26
Alpine,2002,2002-03,12,11,11,10,12,11
Alpine,2003,2003-04,14,12,12,13,13,13
Alpine,2004,2004-05,13,10,10,10,12,12
Alpine,2005,2005-06,14,13,13,13,14,13
Alpine,2006,2006-07,16,15,16,16,16,16
Alpine,2007,2007-08,16,16,16,16,16,16
Alpine,2008,2008-09,12,11,11,11,11,11
Alpine,2009,2009-10,12,11,12,12,12,12
Alpine,2010,2010-11,13,13,13,13,13,13
Alpine,2011,2011-12,12,12,12,12,12,12
Alpine,2012,2012-13,19,16,16,16,16,16
Alpine,2013,2013-14,12,10,10,10,10,10
Alpine,2014,2014-15,0,0,0,0,0,0
ALPINE,2016,2016-17,6,,,,,
ALPINE,2017,2017-18,6,,,,,
Amador,2001,2001-02,345,336,336,333,337,334
Amador,2002,2002-03,336,329,330,329,329,331
Amador,2003,2003-04,289,277,278,275,276,279
Amador,2004,2004-05,323,310,313,312,315,319
Amador,2005,2005-06,314,301,301,303,301,303
Amador,2006,2006-07,277,264,268,267,267,269
Amador,2007,2007-08,320,303,307,306,305,309
Amador,2008,2008-09,334,315,316,314,315,316
Amador,2009,2009-10,324,305,308,308,311,312
Amador,2010,2010-11,311,298,298,298,295,299
