"country","gdp_percap","life_expect","year"
"Andorra",,,2016
"United Arab Emirates",73017.480009563,77.256,2016
"Afghanistan",1944.11700479836,63.673,2016
"Antigua and Barbuda",22661.4885361636,76.364,2016
"Albania",11559.3008437783,78.345,2016
"Armenia",8832.76343477124,74.618,2016
"Angola",6440.99024209186,61.547,2016
"Argentina",20042.5400197144,76.577,2016
"American Samoa",,,2016
"Austria",50521.4826240632,80.890243902439,2016
"Australia",46144.120814482,82.5,2016
"Aruba",,75.867,2016
"Azerbaijan",17256.6269704411,72.026,2016
"Bosnia and Herzegovina",12172.65025508,76.911,2016
"Barbados",18054.740747176,75.906,2016
"Bangladesh",3579.75598102606,72.489,2016
"Belgium",46416.8541977185,80.9926829268293,2016
"Burkina Faso",1771.16213900948,60.361,2016
"Bulgaria",19242.6226157385,74.6146341463415,2016
"Bahrain",47066.7630999618,76.9,2016
"Burundi",777.752851658978,57.481,2016
"Benin",2167.27284700858,60.907,2016
"Bermuda",,81.2270731707317,2016
"Brunei Darussalam",77420.6123414915,77.203,2016
"Bolivia",7234.19524334693,69.125,2016
"Brazil",15181.4713659756,75.509,2016
"Bahamas, The",29779.7979962432,75.675,2016
"Bhutan",8900.76455308796,70.197,2016
"Botswana",16960.9638749829,66.797,2016
"Belarus",18089.0503258733,73.8268292682927,2016
"Belize",8540.40422032373,70.384,2016
"Canada",44819.4836002717,82.300512195122,2016
"Congo, Dem. Rep.",868.221543211932,59.621,2016
"Central African Republic",693.30690972402,52.171,2016
"Congo, Rep.",5662.79809114461,64.625,2016
"Switzerland",63881.6746185979,82.8975609756098,2016
"Cote d'Ivoire",3693.6523955676,53.582,2016
"Chile",23476.4267994692,79.522,2016
"Cameroon",3609.37559694929,58.073,2016
"China",15530.6342741802,76.252,2016
"Colombia",14165.4512227635,74.381,2016
"Costa Rica",16387.0490387679,79.831,2016
"Cuba",,79.742,2016
"Curacao",,77.8731707317073,2016
"Cyprus",32882.2186186017,80.508,2016
"Czech Republic",34749.2123632656,78.3317073170732,2016
"Germany",48943.1018045093,80.6414634146341,2016
"Djibouti",,62.465,2016
"Denmark",49029.0148389124,80.7048780487805,2016
"Dominica",10947.7152243907,,2016
"Dominican Republic",15227.9420223578,73.861,2016
"Algeria",15013.2963798624,76.078,2016
"Ecuador",11242.0475160365,76.327,2016
"Estonia",29743.3374280246,77.7365853658537,2016
"Egypt, Arab Rep.",11134.0267191301,71.484,2016
"Eritrea",,65.092,2016
"Spain",36305.2221318722,82.8317073170732,2016
"Ethiopia",1734.46407451719,65.475,2016
"Finland",43378.1460288181,81.7804878048781,2016
"Fiji",9109.95192354859,70.269,2016
"Micronesia, Fed. Sts.",3508.71519196101,69.195,2016
"France",41357.98693296,82.2731707317073,2016
"Gabon",18071.2568901822,66.105,2016
"United Kingdom",42656.2166021995,80.9560975609756,2016
"Grenada",14200.0071938055,73.659,2016
"Georgia",10004.5284138636,73.261,2016
"Ghana",4295.21767034808,62.742,2016
"Gibraltar",,,2016
"Greenland",,,2016
"Gambia, The",1676.87879487811,61.193,2016
"Guinea",2043.06018975282,60.015,2016
"Equatorial Guinea",26142.0895255227,57.681,2016
"Greece",26764.961606123,81.0365853658537,2016
"Guatemala",7946.67768789209,73.409,2016
"Guam",,79.575,2016
"Guinea-Bissau",1616.42380033177,57.403,2016
"Guyana",7836.37917629736,66.65,2016
"Hong Kong SAR, China",58681.6180611178,84.2268292682927,2016
"Honduras",4752.48484803485,73.575,2016
"Croatia",23710.4090935342,78.0219512195122,2016
"Haiti",1783.94018985826,63.33,2016
"Hungary",26700.7560826351,75.5682926829269,2016
"Indonesia",11610.9931218733,69.191,2016
"Ireland",71388.7596796249,81.6073170731707,2016
"Israel",37258.2235945673,82.4073170731707,2016
"Isle of Man",,,2016
"India",6573.93215524133,68.56,2016
"Iraq",17516.2590836108,69.862,2016
"Iran, Islamic Rep.",19948.8165996546,75.953,2016
"Iceland",50745.682977113,82.4682926829268,2016
"Italy",38380.1724117843,82.5439024390244,2016
"Channel Islands",,81.107,2016
"Jamaica",8821.31142953404,75.97,2016
"Jordan",9047.76892340397,74.329,2016
"Japan",42281.1881895781,83.9848780487805,2016
"Kenya",3156.11893173745,67.032,2016
"Kyrgyz Republic",3569.51838990232,70.9512195121951,2016
"Cambodia",3736.96461203482,68.981,2016
"Kiribati",2108.53774118545,66.317,2016
"Comoros",1521.85721808214,63.701,2016
"St. Kitts and Nevis",26382.787649901,,2016
"Korea, Rep.",36629.8646004377,82.0243902439024,2016
"Kuwait",74263.9986260609,74.694,2016
"Cayman Islands",,,2016
"Kazakhstan",25286.4337247112,72.3,2016
"Lao PDR",6549.66799974824,66.683,2016
"Lebanon",14308.7511271436,79.584,2016
"St. Lucia",13665.3180539293,75.496,2016
"Liechtenstein",,82.6560975609756,2016
"Sri Lanka",12343.3608678142,75.284,2016
"Liberia",812.673943814557,62.505,2016
"Lesotho",2951.02189397517,54.174,2016
"Lithuania",29862.3188904098,74.3219512195122,2016
"Luxembourg",102389.437727633,82.2926829268293,2016
"Latvia",25586.2887008349,74.5292682926829,2016
"Libya",15420.168625312,71.934,2016
"Morocco",7857.4877165031,75.821,2016
"Monaco",,,2016
"Moldova",5352.77686746082,71.61,2016
"Montenegro",17633.146362673,77.116,2016
"St. Martin (French part)",,79.6219512195122,2016
"Madagascar",1506.23832528188,65.932,2016
"Marshall Islands",4022.97863241912,,2016
"Macedonia, FYR",14731.3596294155,75.703,2016
"Mali",2125.7160265303,57.966,2016
"Myanmar",5721.22800362596,66.612,2016
"Mongolia",12252.2771963876,69.287,2016
"Macao SAR, China",105420.354044043,83.849,2016
"Northern Mariana Islands",,,2016
"Mauritania",3852.52573392977,63.238,2016
"Malta",37363.3293251829,81.7975609756098,2016
"Mauritius",21102.5589231981,74.3948780487805,2016
"Maldives",15347.9977861679,77.339,2016
"Malawi",1168.82562558063,63.223,2016
"Mexico",17769.664279286,77.118,2016
"Malaysia",27682.6079402983,75.3,2016
"Mozambique",1215.7876396975,58.311,2016
"Namibia",10596.4173811197,64.388,2016
"New Caledonia",,76.9615007371216,2016
"Niger",989.089743874414,60.058,2016
"Nigeria",5861.08965603116,53.428,2016
"Nicaragua",5533.07423980306,75.404,2016
"Netherlands",50538.6065695989,81.509756097561,2016
"Norway",58808.3907633282,82.509756097561,2016
"Nepal",2477.90334509701,70.253,2016
"New Zealand",39465.1153093061,81.6124390243903,2016
"Oman",43012.8491996942,77.029,2016
"Panama",23157.2224037205,78.001,2016
"Peru",13030.0139047179,74.983,2016
"French Polynesia",,76.813,2016
"Papua New Guinea",4117.28565471062,65.544,2016
"Philippines",7800.65101042363,69.094,2016
"Pakistan",5238.2135285593,66.481,2016
"Poland",27383.2549370049,77.4512195121951,2016
"Puerto Rico",37793.9235037866,79.7883170731707,2016
"West Bank and Gaza",5109.71266336244,73.473,2016
"Portugal",30658.6319953306,81.1268292682927,2016
"Palau",14986.7696839022,,2016
"Paraguay",9567.3391281814,73.12,2016
"Qatar",127480.482510991,78.184,2016
"Romania",23050.0103276182,75.0121951219512,2016
"Serbia",14514.9605530466,75.2390243902439,2016
"Russian Federation",24818.9051890129,71.5929268292683,2016
"Rwanda",1930.70021243911,67.129,2016
"Saudi Arabia",54378.6981240742,74.561,2016
"Solomon Islands",2350.19284335436,70.726,2016
"Seychelles",27641.4389001815,74.309756097561,2016
"Sudan",4730.46187073223,64.486,2016
"Sweden",48904.5543707155,82.2048780487805,2016
"Singapore",89103.1588332631,82.7951219512195,2016
"Slovenia",32723.0719537641,80.7756097560976,2016
"Slovak Republic",30460.3840810744,76.5634146341463,2016
"Sierra Leone",1470.85864755399,51.835,2016
"San Marino",60932.9300372192,,2016
"Senegal",2566.11917856156,67.146,2016
"Somalia",,56.293,2016
"Suriname",14966.7137949048,71.405,2016
"South Sudan",1693.04606202392,56.811,2016
"Sao Tome and Principe",3239.41403435822,66.624,2016
"El Salvador",7726.17044367092,73.512,2016
"Sint Maarten (Dutch part)",,,2016
"Syrian Arab Republic",,70.31,2016
"Swaziland",8329.56058149203,57.754,2016
"Turks and Caicos Islands",,,2016
"Chad",2025.73724557589,52.903,2016
"Togo",1497.42364345341,60.232,2016
"Thailand",16937.9268850076,75.303,2016
"Tajikistan",2979.31023901638,71.051,2016
"Timor-Leste",7869.45147441981,68.881,2016
"Turkmenistan",16875.9877435703,67.835,2016
"Tunisia",11605.7551761891,75.731,2016
"Tonga",5745.19122926423,73.029,2016
"Turkey",25247.2017504961,75.755,2016
"Trinidad and Tobago",31858.3554315218,70.673,2016
"Tuvalu",3766.48378057387,,2016
"Tanzania",2786.20627438656,65.675,2016
"Ukraine",8269.61463354542,71.4763414634146,2016
"Uganda",1819.43435088296,59.889,2016
"United States",57588.538070583,78.690243902439,2016
"Uruguay",21669.97739916,77.493,2016
"Uzbekistan",6512.68213066737,71.314,2016
"St. Vincent and the Grenadines",11413.2943920545,73.179,2016
"Venezuela, RB",,74.545,2016
"Virgin Islands (U.S.)",,79.2682926829268,2016
"Vietnam",6295.59058534397,76.253,2016
"Vanuatu",3080.56575433637,72.133,2016
"Samoa",6378.2565669184,75.013,2016
"Yemen, Rep.",1595.18606506288,64.953,2016
"South Africa",13250.5883248063,62.774,2016
"Zambia",3938.66318847391,61.874,2016
"Zimbabwe",2027.08491546614,61.163,2016
