year,participants,costs
1969,2.878,0.25
1970,4.34,0.577
1971,9.368,1.576
1972,11.109,1.867
1973,12.166,2.207
1974,12.862,2.837
1975,17.064,4.619
1976,18.549,5.686
1977,17.077,5.461
1978,16.001,5.52
1979,17.653,6.94
1980,21.082,9.207
1981,22.43,11.225
1982,21.717,10.837
1983,21.625,11.847
1984,20.854,11.579
1985,19.899,11.703
1986,19.429,11.638
1987,19.113,11.604
1988,18.645,12.317
1989,18.806,12.902
1990,20.049,15.447
1991,22.625,18.747
1992,25.407,22.462
1993,26.987,23.653
1994,27.474,24.493
1995,26.619,24.62
1996,25.543,24.331
1997,22.858,21.508
1998,19.791,18.988
1999,18.183,17.821
2000,17.194,17.054
2001,17.318,17.789
2002,19.096,20.637
2003,21.25,23.816
2004,23.811,27.099
2005,25.628,31.072
2006,26.549,32.903
2007,26.316,33.174
2008,28.223,37.64
2009,33.49,53.62
2010,40.302,68.283
2011,44.709,75.687
2012,46.609,78.411
2013,47.636,79.859
2014,46.664,74.058
2015,45.767,73.961
2016,44.219,70.924
