job,total_workers,median_pay,men_workers,men_median_pay,women_workers,women_median_pay
Chief executives,1136,2296,823,2415,313,1920
General and operations managers,920,1328,598,1488,321,1134
Legislators,14,,5,,9,
Advertising and promotions managers,53,1330,24,,29,
Marketing and sales managers,994,1509,566,1747,428,1288
Public relations and fundraising managers,71,1318,24,,47,
Administrative services managers,147,1233,89,1629,57,1013
Computer and information systems managers,594,1843,428,1897,165,1629
Financial managers,1111,1412,500,1719,611,1222
Compensation and benefits managers,16,,5,,11,
Human resources managers,304,1448,92,1748,211,1280
Training and development managers,58,1396,23,,35,
Industrial production managers,265,1486,202,1526,63,1312
Purchasing managers,194,1271,90,1420,104,1138
"Transportation, storage, and distribution managers",274,1039,225,1061,49,
"Farmers, ranchers, and other agricultural managers",121,1001,100,963,21,
Construction managers,582,1428,526,1439,56,1243
Education administrators,801,1367,304,1561,497,1243
Architectural and engineering managers,128,1999,119,2020,10,
Food service managers,816,753,421,894,394,674
Funeral service managers,9,,4,,5,
Gaming managers,23,,17,,6,
Lodging managers,116,882,54,982,62,844
Medical and health services managers,610,1319,177,1490,433,1177
Natural sciences managers,17,,10,,7,
Postmasters and mail superintendents,23,,13,,10,
"Property, real estate, and community association managers",421,957,181,1163,241,873
Social and community service managers,337,1136,101,1281,236,1052
Emergency management directors,10,,4,,7,
"Managers, all other",3004,1488,1841,1629,1163,1251
"Agents and business managers of artists, performers, and athletes",23,,8,,15,
"Buyers and purchasing agents, farm products",10,,6,,4,
"Wholesale and retail buyers, except farm products",154,886,67,882,87,888
"Purchasing agents, except wholesale, retail, and farm products",240,1132,143,1144,96,1085
"Claims adjusters, appraisers, examiners, and investigators",346,1002,128,1108,218,925
Compliance officers,240,1391,106,1501,134,1296
Cost estimators,113,1139,100,1157,13,
Human resources workers,664,1086,182,1236,482,1035
"Compensation, benefits, and job analysis specialists",60,1042,21,,39,
Training and development specialists,114,1099,59,1255,55,937
Logisticians,101,1230,67,1358,33,
Management analysts,606,1499,351,1651,255,1315
"Meeting, convention, and event planners",102,1080,14,,89,1064
Fundraisers,72,1152,17,,55,1152
Market research analysts and marketing specialists,258,1174,110,1357,149,1061
"Business operations specialists, all other",250,1136,118,1361,132,1013
Accountants and auditors,1512,1173,622,1389,890,1065
Appraisers and assessors of real estate,55,1074,35,,20,
Budget analysts,54,1377,29,,26,
Credit analysts,27,,13,,15,
Financial analysts,264,1530,156,1590,108,1369
Personal financial advisors,398,1425,267,1662,131,979
Insurance underwriters,92,1153,35,,57,1115
Financial examiners,15,,8,,7,
Credit counselors and loan officers,320,1070,127,1332,193,958
"Tax examiners and collectors, and revenue agents",62,1078,28,,33,
Tax preparers,56,791,18,,39,
"Financial specialists, all other",36,,11,,24,
Computer and information research scientists,23,,13,,9,
Computer systems analysts,522,1409,311,1495,211,1270
Information security analysts,94,1725,74,1773,20,
Computer programmers,423,1483,333,1539,89,1363
"Software developers, applications and systems software",1439,1792,1174,1863,265,1543
Web developers,144,1235,98,1342,46,
Computer support specialists,443,1068,319,1134,124,919
Database administrators,93,1381,56,1745,37,
Network and computer systems administrators,193,1395,155,1396,38,
Computer network architects,100,1636,97,1659,3,
Actuaries,23,,16,,7,
Mathematicians,2,,2,,0,
Operations research analysts,146,1396,71,1570,74,1205
Statisticians,77,1433,36,,41,
"Architects, except naval",196,1453,150,1650,46,
"Surveyors, cartographers, and photogrammetrists",30,,25,,5,
Aerospace engineers,137,1892,128,1891,9,
Agricultural engineers,3,,3,,0,
Biomedical engineers,16,,11,,4,
Chemical engineers,78,1626,66,1631,12,
Civil engineers,393,1494,332,1524,61,1343
Computer hardware engineers,73,1771,60,1793,13,
Electrical and electronics engineers,276,1803,245,1772,30,
Environmental engineers,32,,21,,11,
"Industrial engineers, including health and safety",213,1496,168,1520,46,
Marine engineers and naval architects,7,,7,,0,
Materials engineers,32,,28,,5,
Mechanical engineers,337,1534,311,1533,26,
"Mining and geological engineers, including mining safety engineers",12,,10,,1,
Nuclear engineers,7,,7,,0,
Petroleum engineers,23,,17,,6,
"Engineers, all other",546,1561,473,1571,73,1436
Drafters,122,1126,100,1149,21,
"Engineering technicians, except drafters",339,1053,269,1102,70,884
Surveying and mapping technicians,63,1109,61,1114,2,
Agricultural and food scientists,25,,14,,10,
Biological scientists,82,1140,41,,41,
Conservation scientists and foresters,26,,15,,11,
Medical scientists,162,1378,82,1383,80,1270
"Life scientists, all other",4,,1,,3,
Astronomers and physicists,16,,15,,1,
Atmospheric and space scientists,6,,4,,2,
Chemists and materials scientists,98,1425,56,1451,41,
Environmental scientists and geoscientists,80,1639,51,1746,30,
"Physical scientists, all other",270,1529,147,1565,122,1409
Economists,29,,18,,12,
Survey researchers,2,,1,,1,
Psychologists,106,1454,35,,71,1437
Sociologists,2,,2,,0,
Urban and regional planners,34,,18,,16,
Miscellaneous social scientists and related workers,27,,18,,9,
