"Territorial emissions in MtCO₂"
;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;"Antigua and Barbuda";Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bolivia;"Bonaire, Saint Eustatius and Saba";"Bosnia and Herzegovina";Botswana;Brazil;"British Virgin Islands";"Brunei Darussalam";Bulgaria;"Burkina Faso";Burundi;Cambodia;Cameroon;Canada;"Cape Verde";"Cayman Islands";"Central African Republic";Chad;Chile;China;Colombia;Comoros;Congo;"Cook Islands";"Costa Rica";"Côte d'Ivoire";Croatia;Cuba;Curaçao;Cyprus;"Czech Republic";"Democratic Republic of the Congo";Denmark;Djibouti;Dominica;"Dominican Republic";Ecuador;Egypt;"El Salvador";"Equatorial Guinea";Eritrea;Estonia;Ethiopia;"Faeroe Islands";"Falkland Islands (Malvinas)";Fiji;Finland;France;"French Guiana";"French Polynesia";Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;"Hong Kong";Hungary;Iceland;India;Indonesia;Iran;Iraq;Ireland;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;"Macedonia (Republic of)";Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;"Marshall Islands";Martinique;Mauritania;Mauritius;Mexico;"Micronesia (Federated States of)";Moldova;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands;"New Caledonia";"New Zealand";Nicaragua;Niger;Nigeria;Niue;"North Korea";Norway;"Occupied Palestinian Territory";Oman;Pakistan;Palau;Panama;"Papua New Guinea";Paraguay;Peru;Philippines;Poland;Portugal;Qatar;"Republic of South Sudan";Réunion;Romania;"Russian Federation";Rwanda;"Saint Helena";"Saint Kitts and Nevis";"Saint Lucia";"Saint Pierre and Miquelon";"Saint Vincent and the Grenadines";Samoa;"Sao Tome and Principe";"Saudi Arabia";Senegal;Serbia;Seychelles;"Sierra Leone";Singapore;Slovakia;Slovenia;"Solomon Islands";Somalia;"South Africa";"South Korea";Spain;"Sri Lanka";Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Tonga;"Trinidad and Tobago";Tunisia;Turkey;Turkmenistan;"Turks and Caicos Islands";Tuvalu;Uganda;Ukraine;"United Arab Emirates";"United Kingdom";"United States of America";Uruguay;Uzbekistan;Vanuatu;Venezuela;Vietnam;"Wallis and Futuna Islands";"Western Sahara";Yemen;Zambia;Zimbabwe
1990;2.6024;5.5107;76.7366;0.4067;5.0887;0.051296;0.28213;111.89;6.6425;1.6378;278.4244;62.2922;63.053;1.9492;12.4054;15.49;1.0603;104.1347;120.4844;0.31144;0.68068;0.50197;0.12824;5.7268;0.2412;20.0141;2.7004;206.9211;0.065952;6.1885;78.6729;0.58258;0.20885;1.2604;1.6782;463.8798;0.095264;;0.19786;0.1429;32.9467;2420.3021;56.9167;0.062288;1.1794;0.03664;2.912;4.7815;23.442;33.1166;4.6424;4.6431;164.2274;4.0264;53.6009;0.32243;0.058624;9.1517;16.7106;75.622;2.4672;0.065952;;37.069;2.9858;0.71082;;0.80606;56.967;403.1017;;0.43602;4.4854;0.17587;17.1532;1052.9975;3.7548;;83.3754;0.55326;0.10626;;4.9701;1.0039;0.17221;1.1322;0.9797;2.5468;27.1471;73.4555;2.2374;616.5791;150.3454;209.2383;46.8438;32.8779;35.8231;439.9441;7.5271;1155.2634;10.247;266.5169;5.6861;0.021984;50.8862;12.5553;0.21251;19.8059;7.8679;1.4729;0.46814;36.513;0.19897;35.7872;11.812;1.0332;14.3422;0.94381;0.73906;56.0119;0.17221;0.41942;1.9433;;;0.85371;1.4619;318.4148;;24.0426;9.89;2.5509;0.029312;23.502;1.0152;4.2348;;0.12458;0.62385;162.4408;1.5768;25.4536;2.0439;0.73086;38.8572;0.007328;122.4;35.7044;0.86104;11.2957;67.8285;;2.7462;2.1398;2.1469;20.9525;41.3495;376.0387;45.5791;11.7437;0.43479;;171.2318;2571.2107;0.53711;0.007328;0.10626;0.16122;0.0916;0.080608;0.10259;0.047632;185.4853;3.139;57.6075;0.15022;0.48731;44.2906;61.9957;15.0744;0.14656;0.72957;312.6299;247.4382;231.895;3.8294;4.7679;1.7673;0.42502;57.5063;44.1619;37.0453;121.9053;8.1971;2.2172;89.3901;;0.97267;0.076944;16.9825;13.1674;146.5072;36.941;0.029312;0.007328;0.75587;705.8322;51.7026;601.0676;5121.2645;3.9671;124.1543;0.065952;121.822;21.1632;;;9.5214;2.4058;15.5693
1991;2.4265;4.2832;78.8054;0.4067;5.0629;0.051296;0.26747;116.845;6.4406;1.6818;279.8724;65.8997;60.8003;1.7807;11.8553;15.9026;1.1921;97.0401;123.5447;0.35907;0.79213;0.53861;0.17612;5.974;0.19247;14.1515;2.6344;217.2275;0.065952;5.3055;60.058;0.62654;0.23816;1.3044;1.0567;454.6275;0.098928;;0.20518;0.065952;30.9422;2538.924;56.6553;0.065952;0.99483;0.03664;3.2873;4.3089;17.3042;29.5512;3.7045;5.1318;148.5125;2.9384;64.2209;0.31144;0.058624;9.9526;16.3776;78.3207;3.1239;0.1429;;34.0377;2.9571;0.66685;;0.66312;55.2253;428.6495;;0.43235;4.522;0.17954;16.539;1014.9723;3.8652;;83.3509;0.54594;0.10992;;4.9521;1.0259;0.17587;1.1139;0.9798;2.6502;28.4627;69.7773;2.1177;656.7409;180.6953;225.9542;45.1853;33.6067;36.1486;440.0944;7.7506;1167.0405;9.6758;257.0972;4.7104;0.021984;10.1742;12.1094;0.2345;18.0386;8.1149;1.5279;0.27846;42.6191;0.20633;37.8833;12.424;1.0919;10.1447;1.028;0.78469;67.8548;0.15389;0.43407;2.1106;;;0.86837;1.5206;331.3743;;23.1548;12.121;1.8043;0.029312;24.9266;1.0151;4.1367;1.0552;0.12458;0.94788;170.8198;1.758;26.1181;1.9879;0.71986;41.9291;0.007328;117.2266;34.0693;0.88302;11.678;67.4778;;3.2224;2.0628;2.1174;20.1746;43.4712;373.3782;47.2062;17.6453;0.40731;;140.9668;2437.0381;0.48211;0.007328;0.10626;0.16854;0.10259;0.076944;0.10626;0.047632;267.3862;3.378;40.719;0.17221;0.54594;45.0494;53.6171;13.995;0.14656;0.7065;325.7272;262.0383;241.465;4.137;4.4655;2.0495;0.3261;57.7135;46.1402;42.2007;133.0049;7.9037;2.3488;98.3656;;1.0485;0.095264;16.9683;15.3629;153.538;35.6185;0.029312;0.007328;0.77588;632.5388;56.6723;609.0204;5070.8394;4.5275;119.8753;0.065952;115.0525;21.1604;;;9.1286;2.3821;15.8653
1992;1.3815;2.5135;79.8818;0.4067;5.165;0.05496;0.26381;121.0167;5.7199;1.4619;284.9121;60.4315;56.1758;1.7917;10.8738;17.7088;0.96632;89.9904;122.6578;0.35541;0.86494;0.46166;0.20538;6.622;0.15857;15.0276;2.7773;218.3835;0.069616;5.2102;56.84;0.63021;0.21618;1.3484;3.7299;468.8648;0.10626;;0.21618;0.084272;32.0579;2657.1124;61.5003;0.065952;1.2683;0.03664;3.7412;3.8435;16.6325;31.133;3.052;5.5072;144.0742;2.7982;58.4134;0.31144;0.058624;10.8223;22.1573;80.8261;3.2875;0.15755;;24.5146;2.9373;0.64853;;0.74003;54.2805;418.4452;;0.41403;4.9176;0.17954;15.277;966.7058;3.8881;;84.9158;0.47998;0.11725;;5.9179;1.0589;0.17954;1.0442;0.89521;3.0302;32.9171;62.4088;2.263;698.7569;203.6594;226.957;58.8893;33.418;42.083;439.2104;7.7108;1176.9426;11.983;232.9392;5.4021;0.025648;21.0219;11.1664;0.25581;14.2672;9.7269;1.5865;0.28147;37.025;0.20695;21.1871;12.1802;1.0809;10.7685;0.9987;0.78527;74.4686;0.23083;0.44138;2.3195;0.05496;;0.90501;1.7074;334.208;0.098928;21.0806;10.9939;1.9153;0.029312;25.986;1.0013;4.8416;1.1505;0.12091;1.3084;170.6549;1.5747;28.1126;2.3736;0.69721;46.2651;0.007328;102.9626;34.8319;0.916;11.9846;72.015;0.2345;4.226;2.0518;2.513;20.3109;48.2938;363.7189;51.4585;26.7327;0.36457;;130.286;1993.2176;0.48207;0.007328;0.10992;0.20152;0.095264;0.084272;0.10992;0.047632;285.0741;3.4234;43.2938;0.17221;0.44701;48.2127;49.156;13.996;0.1429;0.67954;301.0293;282.194;250.3269;5.106;3.988;2.0641;0.26381;57.4471;46.0155;42.5611;143.3457;7.2946;2.2752;108.0767;;1.0307;0.069616;19.1042;14.8918;159.0658;32.9004;0.032976;0.007328;0.78318;589.0622;57.7577;593.5041;5174.0591;5.1429;111.2702;0.062288;105.5781;21.0929;;;9.8742;2.4241;16.9174
1993;1.3338;2.334;81.9424;0.41037;5.7484;0.065952;0.27114;117.5647;2.5083;1.5938;289.2349;60.7877;48.4083;1.7001;14.6098;17.3679;1.1098;77.6156;121.5573;0.37739;1.0867;0.53861;0.17303;7.7918;0.24478;12.5794;3.195;228.3332;0.07328;4.9647;57.4834;0.62654;0.22717;1.385;3.8394;467.8796;0.10992;;0.2235;0.0916;34.163;2835.7955;63.3367;0.069616;1.3085;0.040304;3.891;5.093;17.1037;29.2841;4.7114;5.7514;137.9627;2.5773;60.6534;0.31144;0.062288;11.6672;24.0874;92.7026;3.7334;0.098928;;19.066;2.9948;0.58258;;0.74366;56.3485;398.6448;;0.42502;4.9748;0.18686;9.9163;956.9942;4.4352;;84.2295;0.4983;0.12091;;5.5772;1.0882;0.1832;1.0442;0.65615;2.7977;34.7782;63.5397;2.421;722.8943;219.8563;235.5766;63.1298;33.6492;44.2343;431.601;8.0003;1170.1967;11.774;205.2445;6.2151;0.029312;33.202;8.5859;0.2558;11.9878;10.3696;1.6341;0.31444;38.709;0.21503;16.3321;12.3206;1.1798;10.3325;1.0243;0.87914;90.8365;0.19786;0.45236;2.3339;0.062288;;0.92699;1.7734;339.4729;0.098928;15.9704;9.2626;1.6678;0.029312;28.1621;1.0752;5.3018;1.3887;0.11358;1.4405;170.7962;1.8275;27.707;2.2834;0.77779;44.8134;0.007328;94.8685;36.5316;0.93432;13.3566;77.1766;0.2345;3.8996;1.9932;2.8421;23.4784;48.9292;364.5653;50.07;30.6479;0.25159;;121.6272;1890.935;0.48937;0.010992;0.11358;0.2235;0.07328;0.10259;0.10992;0.047632;313.3274;3.538;37.7408;0.1832;0.44701;50.8711;46.659;14.2927;0.1429;0.63922;320.3381;321.8378;241.8178;4.9756;2.7451;2.0384;0.1319;57.3957;43.6047;45.2217;154.8355;5.1614;2.546;122.8659;;1.0689;0.084272;17.9211;16.3539;167.3019;28.1917;0.040304;0.007328;0.77582;510.2014;65.5654;579.4028;5284.6879;4.4392;115.8664;0.062288;123.9679;22.6007;;;8.626;2.4672;16.2591
1994;1.2825;1.9236;86.1467;0.4067;3.8656;0.065952;0.26747;122.01;2.6835;1.6122;294.0146;61.1903;41.9466;1.6854;14.7556;18.928;0.74188;64.373;124.9382;0.37373;1.2223;0.53128;0.20161;8.5924;0.23468;3.2044;3.0301;239.4707;0.080608;4.6899;55.9361;0.64486;0.2345;1.4671;3.7711;483.0585;0.11358;;0.2345;0.10259;37.6424;3010.2422;66.7095;0.069616;2.1391;0.040304;5.2003;4.133;16.3612;32.1468;4.5169;5.994;131.5325;1.6225;64.7152;0.30411;0.065952;12.3768;13.5385;84.8349;4.5322;0.032976;0.86072;19.901;2.1969;0.57525;;0.7386;61.7116;393.3949;;0.43968;4.3745;0.18686;6.069;940.408;4.8286;;86.392;0.50197;0.1429;;6.7508;1.2269;0.1832;1.385;0.30045;3.2917;31.079;61.8827;2.3619;764.242;222.9676;263.5204;71.0892;34.7722;47.4745;425.4906;8.191;1225.1734;13.2495;171.066;6.4204;0.029312;38.7817;6.2045;0.27412;10.4203;11.1287;1.6744;0.31144;43.753;0.20111;15.7482;11.509;1.2714;10.4607;1.2644;0.90471;93.014;0.19786;0.46034;2.5025;0.065952;;0.9563;1.6232;353.2382;0.10259;12.3903;7.9271;1.6224;0.032976;29.5834;1.0572;6.1962;1.5719;0.10992;1.6671;171.3984;1.9704;27.8888;2.5179;0.77045;34.9337;0.007328;86.7195;38.446;0.9673;15.1817;84.0193;0.2345;4.292;2.1801;3.3981;23.1193;54.1233;359.6111;50.8204;30.1548;0.34533;;119.6707;1669.6371;0.47199;0.010992;0.12091;0.26014;0.069616;0.12091;0.11358;0.047632;307.4732;3.8368;36.6984;0.20152;0.46166;61.3446;43.8279;14.6338;0.13923;0.62822;338.3887;344.2638;254.234;5.4358;3.784;2.0417;0.48365;59.8455;42.6786;46.1898;161.8216;2.3474;2.375;136.8442;;1.0049;0.0916;17.386;15.7761;163.7832;33.4425;0.043968;0.007328;0.70383;419.2676;72.6046;575.6574;5377.9871;4.0299;108.2841;0.062288;129.5308;25.7731;;;8.9826;2.393;17.6845
1995;1.2311;2.0848;94.982;0.42502;10.9483;0.065952;0.2748;127.5985;3.3601;1.6671;305.4098;64.206;33.3111;1.6818;14.7871;22.7714;0.82296;57.9475;126.083;0.37739;1.2736;0.53128;0.23614;9.799;0.23224;3.4028;3.0448;255.5834;0.084272;4.7852;57.537;0.62387;0.23816;1.5403;4.1745;495.6645;0.12091;;0.2345;0.10992;41.0901;3265.057;58.6203;0.07328;1.5558;0.040304;4.8019;6.1152;17.0401;25.5862;4.4698;5.8643;131.9721;2.1001;61.6285;0.30411;0.080608;15.7714;22.6979;95.1669;4.9616;0.12824;0.92964;18.204;2.5057;0.57158;;0.75389;58.1416;400.5639;;0.42869;4.6063;0.19786;2.2914;940.0867;5.1542;;86.9456;0.50197;0.15022;;7.0793;1.267;0.1832;1.4619;0.90134;3.8265;31.2664;61.6129;2.4651;811.4608;226.6699;271.1475;74.0842;35.7944;49.8652;451.9789;9.1734;1237.8528;13.2077;162.6831;7.4055;0.029312;54.589;4.511;0.3474;9.1676;12.2802;1.7074;0.32543;45.6911;0.2042;15.0041;9.1181;1.2311;10.8308;1.2607;0.90696;120.0352;0.24915;0.46766;2.4983;0.065952;;1.0149;1.8283;333.0098;0.10626;11.4054;7.8994;1.7138;0.032976;30.2819;1.1085;6.9063;1.6195;0.10626;2.0034;173.0327;2.0642;28.1534;2.7548;0.80707;35.5753;0.007328;81.2598;38.4772;0.94531;15.77;83.6151;0.2345;2.9396;2.0592;3.9306;23.6822;59.9487;361.3039;54.7909;31.7171;0.35785;;124.8369;1640.2632;0.461;0.010992;0.12824;0.31144;0.069616;0.12824;0.11725;0.047632;234.7119;3.429;38.7752;0.19786;0.34808;41.8418;44.8665;15.2445;0.1429;0.5879;361.3641;373.9924;267.8322;5.8155;3.9009;2.06;0.45434;59.2761;43.4141;41.2002;172.1115;2.4429;3.4963;158.4571;;1.1747;0.095264;16.9695;15.5525;178.3103;33.9322;0.047632;0.007328;0.92996;389.8658;70.0127;566.8341;5439.2133;4.5585;103.2023;0.065952;132.8747;28.5235;;;10.3522;2.141;15.0294
1996;1.1651;2.0152;96.7861;0.45434;10.4248;0.069616;0.29312;134.6437;2.4973;1.6891;312.3612;67.6739;31.2416;1.6671;15.5896;23.9496;0.84233;59.2023;129.5836;0.30778;1.2311;0.52762;0.28531;9.7745;0.21724;4.2385;2.7553;281.1948;0.095264;4.7412;57.9525;0.70446;0.24182;1.5972;4.4315;510.5568;0.1429;;0.2345;0.12458;47.6285;3408.3466;59.4585;0.076944;1.71;0.047632;4.6867;7.3353;17.6292;26.8725;4.1813;6.2145;134.6487;2.2934;74.8775;0.31144;0.07328;17.1977;24.0255;101.4085;4.499;0.11358;1.0072;18.9254;2.7947;0.6009;;0.81317;64.0584;416.1896;;0.43235;4.7537;0.19786;4.0551;960.1743;5.4686;;89.0986;0.51662;0.15389;;6.5703;1.3395;0.1832;1.5169;1.0332;3.8907;28.9096;63.177;2.5201;878.827;255.2071;274.0078;69.2844;37.411;51.9358;444.5616;9.6877;1249.8757;13.8264;149.0027;9.155;0.032976;49.9136;5.6642;0.46875;9.2435;12.7856;1.7367;0.33574;43.7968;0.20596;15.6588;9.1655;1.407;11.7321;1.359;0.90426;124.1169;0.28946;0.48597;2.47;0.065952;;1.0626;1.9492;347.422;0.10626;11.6871;8.0233;2.006;0.03664;31.0656;1.0244;7.2036;1.7221;0.10259;2.4553;182.4732;2.1851;29.3752;2.8474;0.89865;39.4006;0.007328;71.6086;41.5938;1.0369;14.967;93.5374;0.2345;4.575;2.1874;3.7189;24.184;61.2537;375.3046;52.0981;32.2038;0.36915;;128.2776;1606.949;0.47595;0.010992;0.1319;0.3261;0.069616;0.1319;0.12458;0.047632;258.2636;3.6632;45.3928;0.2345;0.39205;49.3492;45.1655;15.9058;0.1429;0.56792;363.4865;401.5299;255.448;6.9702;4.0256;2.082;0.34075;63.194;44.0985;42.3223;180.3419;2.8225;3.3922;177.2644;;1.2652;0.076944;20.5301;16.5808;195.7507;30.6037;0.047632;0.007328;1.036;351.4099;40.429;588.4935;5626.1867;5.4044;105.8721;0.084272;122.3396;34.0229;;;10.5269;1.837;14.8906
1997;1.0845;1.5425;87.0043;0.46533;7.3478;0.069616;0.30778;137.5581;3.2464;1.7441;320.7947;67.453;29.8039;1.363;17.2877;24.948;0.8889;62.5458;124.0468;0.38838;1.1982;0.52395;0.37684;10.8831;0.22735;8.3653;2.7993;296.5853;0.098928;4.9317;55.1816;0.80269;0.24915;1.5251;3.1564;525.2531;0.14656;;0.24549;0.1429;55.4503;3414.5493;63.7712;0.080608;2.3393;0.047632;4.9167;7.0129;18.6929;24.5091;4.3757;6.3012;130.8497;1.8864;65.4696;0.3261;0.080608;17.8569;18.2051;107.512;5.3983;0.28946;0.85928;18.4823;2.9793;0.5899;;0.78244;62.7183;409.4499;;0.45067;4.7742;0.19786;4.4251;932.3474;6.2042;;93.8042;0.52029;0.16854;;7.5016;1.3943;0.20152;1.5902;1.3667;4.0813;30.4975;61.7559;2.6156;915.0493;280.8965;267.0993;68.0788;38.7524;54.8639;449.4656;10.0681;1243.3671;14.0736;140.7693;8.1197;0.025648;54.6706;5.573;0.60062;8.7068;15.1324;1.7697;0.3474;44.7065;0.21837;15.0702;8.5188;1.4876;10.6256;1.6454;0.94737;123.5277;0.32976;0.52124;2.515;0.065952;;1.0772;1.9969;370.4064;0.10992;7.3013;7.6884;2.1553;0.032976;31.6837;1.1045;7.4445;1.7697;0.10259;2.7595;175.2924;1.8187;31.3561;3.1136;0.90596;42.0611;0.007328;65.1326;41.6989;0.8647;15.3434;93.7876;0.23816;5.5933;2.5758;4.1588;27.2456;70.0626;366.5701;55.1088;37.3935;0.45128;;119.2659;1502.1374;0.49288;0.010992;0.1429;0.30778;0.047632;0.1319;0.12824;0.047632;215.7967;3.1824;48.7927;0.34075;0.36274;58.0718;45.2043;16.233;0.1429;0.53861;385.1207;427.7861;268.0587;7.5196;4.9384;2.1039;1.2018;58.1327;43.035;40.4308;194.3045;2.1489;2.823;183.0459;;0.87899;0.098928;18.3325;16.7661;208.023;30.5559;0.05496;0.007328;1.0801;340.2438;41.0737;562.4847;5703.8907;5.5131;107.0033;0.084272;133.4835;44.3093;;;13.2213;2.3537;14.2942
1998;1.0295;1.7514;106.6208;0.49098;7.2696;0.076944;0.31877;139.3545;3.4111;1.7954;334.6841;67.0544;31.665;1.6781;18.3655;23.9111;1.1212;59.4078;130.2851;0.37006;1.1944;0.52029;0.36716;10.9239;0.012549;10.5513;3.3416;308.3057;0.10259;5.1589;52.5263;0.85763;0.24915;1.9354;3.1371;534.2365;0.15755;;0.24915;0.15022;56.8072;3265.9026;64.6137;0.087936;0.77677;0.047632;5.2355;6.5842;19.3982;24.3574;0.24153;6.5938;125.1257;1.6548;61.2294;0.3151;0.076944;18.2485;22.3147;121.4653;5.7317;0.16488;0.58581;16.9096;3.1474;0.62288;;0.7611;59.3751;429.789;;0.44701;4.9573;0.21251;4.9386;924.4045;6.2459;;98.6248;0.52762;0.17587;;8.6394;1.4763;0.17221;1.6561;1.2311;4.5822;38.924;61.3483;2.6355;933.5493;216.1049;306.0063;72.1015;40.6501;56.0093;460.2403;9.694;1203.7105;14.2519;135.0938;9.896;0.029312;51.5606;5.9131;0.67753;8.3289;16.3155;1.8027;0.37305;45.1589;0.22923;15.888;7.6394;1.5572;12.6152;1.7326;0.92204;113.111;0.30045;0.76211;2.5161;0.069616;;1.0699;2.1691;390.1793;0.11725;6.4439;7.6875;2.2692;0.029312;31.8165;1.1124;8.0371;1.832;0.098928;2.2233;176.4022;1.81;29.9344;3.3919;0.95358;37.5878;0.007328;58.7688;41.9567;1.4619;16.4061;96.7421;0.23816;5.8897;2.8616;4.4638;27.572;68.253;337.3415;59.5976;32.271;0.39113;;104.7557;1484.8522;0.48185;0.010992;0.15022;0.30778;0.05496;0.16122;0.1319;0.047632;207.2305;3.3331;51.3796;0.43235;0.36274;48.3564;44.1752;15.9482;0.1429;0.51296;376.7763;363.5483;276.636;7.7363;4.284;2.1039;1.2128;58.7171;44.6123;49.7465;197.8532;2.4944;2.4815;162.5516;;1.29;0.087936;19.0586;17.8085;208.0423;32.025;0.058624;0.007328;1.2341;321.0672;80.6825;567.4862;5752.3242;5.6401;118.946;0.080608;166.8022;46.5547;;;12.0635;2.2792;14.1396
1999;0.80957;2.9825;91.6679;0.51296;9.1298;0.080608;0.32976;146.5103;3.0337;1.8064;344.0633;65.621;28.5702;1.6744;17.9881;25.0174;1.1912;56.9912;124.7457;0.34808;1.5423;0.51296;0.37076;10.376;0.094035;10.3339;3.1584;316.2824;0.10259;3.8032;46.0963;0.91417;0.25282;1.8943;2.9981;550.0432;0.1832;;0.26381;0.16122;60.9073;3258.1349;55.0275;0.0916;0.82074;0.047632;5.439;5.9393;20.2417;25.183;1.8099;6.8608;116.4416;1.3662;58.6495;0.3151;0.080608;18.3839;21.365;124.4974;5.6201;0.46533;0.6151;15.7271;3.095;0.63021;;0.77502;58.8983;425.6747;;0.49464;4.787;0.23083;4.3097;896.8827;6.3695;;97.9417;0.53861;0.19419;;8.807;1.5517;0.19419;1.6781;1.33;4.6675;42.55;61.8282;2.8413;995.2331;244.1016;379.627;71.6813;42.3778;54.7545;464.6015;9.9582;1239.8401;14.2654;107.323;10.0293;0.029312;53.8222;4.6468;0.91931;7.738;16.4582;1.8247;0.39067;44.3033;0.22656;13.4075;8.0905;1.5169;11.7138;1.9122;0.92448;106.8872;0.42136;0.79509;2.5703;0.065952;;1.0955;2.4256;392.3245;0.10992;4.6846;7.5352;1.5648;0.029312;32.8871;1.1672;8.93;1.6635;0.0916;3.1898;170.9913;2.0555;31.5286;3.5984;0.94989;40.0192;0.007328;64.0994;42.7095;1.3667;20.5579;99.3905;0.24182;5.6103;2.4439;4.4635;29.1468;68.1766;327.6524;67.2235;31.2711;0.42411;;88.6823;1512.9847;0.50311;0.010992;0.16122;0.31877;0.05496;0.16488;0.13557;0.047632;225.9765;3.6036;35.4401;0.5093;0.34442;49.8705;43.3408;15.3234;0.15022;0.49098;374.3176;398.3253;300.1766;8.5176;4.6439;2.1222;1.2384;55.857;44.4417;51.7714;205.2223;2.5155;2.4579;174.131;;1.8504;0.10992;22.4768;18.1202;203.949;37.605;0.065952;0.007328;1.2794;292.3113;77.5427;560.5053;5832.2502;6.681;122.2045;0.084272;172.5625;46.658;;;13.7247;1.7782;15.7277
