"iso2c","iso3c","country","year","gdp_percap","population","birth_rate","neonat_mortal_rate","region","income"
"AD","AND","Andorra",1990,,54509,11.9,5.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",1995,,63850,11,4.1,"Europe & Central Asia","High income"
"AD","AND","Andorra",1996,,64360,10.9,3.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",1997,,64327,11.2,3.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",1998,,64142,11.9,3.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",1999,,64370,12.6,3.3,"Europe & Central Asia","High income"
"AD","AND","Andorra",2000,,65390,11.3,3.1,"Europe & Central Asia","High income"
"AD","AND","Andorra",2001,,67341,11.8,3,"Europe & Central Asia","High income"
"AD","AND","Andorra",2015,,78011,,1.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",2016,,77297,8.8,1.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",1991,,56671,11.9,5.2,"Europe & Central Asia","High income"
"AD","AND","Andorra",1992,,58888,12.1,4.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",1993,,60971,11.4,4.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",1994,,62677,10.9,4.3,"Europe & Central Asia","High income"
"AD","AND","Andorra",2008,,83862,10.4,2.2,"Europe & Central Asia","High income"
"AD","AND","Andorra",2009,,84463,9.9,2,"Europe & Central Asia","High income"
"AD","AND","Andorra",2010,,84449,9.8,2,"Europe & Central Asia","High income"
"AD","AND","Andorra",2011,,83747,,1.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",2012,,82427,9.5,1.8,"Europe & Central Asia","High income"
"AD","AND","Andorra",2013,,80774,,1.7,"Europe & Central Asia","High income"
"AD","AND","Andorra",2014,,79213,,1.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",2005,,78867,10.7,2.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",2002,,70049,11.2,2.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",2017,,77001,,1.4,"Europe & Central Asia","High income"
"AD","AND","Andorra",2004,,76244,10.9,2.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",2006,,80993,10.6,2.4,"Europe & Central Asia","High income"
"AD","AND","Andorra",2007,,82684,10.1,2.3,"Europe & Central Asia","High income"
"AD","AND","Andorra",2003,,73182,10.3,2.7,"Europe & Central Asia","High income"
"AE","ARE","United Arab Emirates",2001,80843.6053740834,3302719,15.996,5.7,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1995,74994.3806244452,2415090,20.21,6.8,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1996,76848.7922432618,2539126,19.253,6.6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1997,80390.0641128511,2671362,18.41,6.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1994,72471.6872850679,2294385,21.282,7.1,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1999,76654.2559064146,2966034,17.043,6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2000,82215.3144683902,3134062,16.494,5.9,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2002,79863.4897328465,3478777,15.514,5.6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1998,77421.1086604052,2813214,17.675,6.2,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1990,72906.5201192638,1828432,25.984,8.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1991,71753.7295623605,1937153,24.828,7.9,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1992,71567.8275246238,2052891,23.631,7.6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1993,70082.3893272536,2173139,22.437,7.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2006,79970.736249785,5300174,13.49,5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2007,72802.1616025434,6168838,13.01,4.9,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2008,66641.4842825541,7089487,12.581,4.8,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2009,56975.5293798538,7917372,12.208,4.6,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2010,54230.1736734082,8549988,11.888,4.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2011,56574.2881750551,8946777,11.616,4.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2012,58961.2020109326,9141596,11.377,4.4,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2004,85147.2190945696,4068570,14.518,5.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2013,62641.836986401,9197910,11.159,4.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2014,66516.8822549128,9214175,10.958,4.3,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2003,82946.3352078161,3711932,15.024,5.5,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2015,70261.5350220449,9262900,10.772,4.2,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2005,81635.4679747818,4588225,14.001,5.2,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2017,73355.8769793479,9487203,10.456,4.1,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",2016,72386.0904689447,9360980,10.603,4.2,"Middle East & North Africa","High income"
"AF","AFG","Afghanistan",1992,,14485546,48.709,71.7,"South Asia","Low income"
"AF","AFG","Afghanistan",2012,1806.76392975325,31161376,37.69,44.6,"South Asia","Low income"
"AF","AFG","Afghanistan",1991,,13299017,48.763,73.3,"South Asia","Low income"
"AF","AFG","Afghanistan",1996,,18853437,48.87,66,"South Asia","Low income"
"AF","AFG","Afghanistan",1993,,15816603,48.717,70.2,"South Asia","Low income"
"AF","AFG","Afghanistan",1994,,17075727,48.77,68.7,"South Asia","Low income"
"AF","AFG","Afghanistan",1995,,18110657,48.835,67.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2014,1897.52593759521,33370794,35.706,41.9,"South Asia","Low income"
"AF","AFG","Afghanistan",1997,,19357126,48.833,64.7,"South Asia","Low income"
"AF","AFG","Afghanistan",1998,,19737765,48.688,63.4,"South Asia","Low income"
"AF","AFG","Afghanistan",2013,1874.7656344942,32269589,36.67,43.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2004,885.840818978255,24726684,45.507,56,"South Asia","Low income"
"AF","AFG","Afghanistan",2005,979.2739786155,25654277,44.723,54.7,"South Asia","Low income"
"AF","AFG","Afghanistan",2006,1031.64313483579,26433049,43.87,53.3,"South Asia","Low income"
"AF","AFG","Afghanistan",2007,1176.12635744176,27100536,42.944,51.9,"South Asia","Low income"
"AF","AFG","Afghanistan",2008,1218.11821481256,27722276,41.949,50.4,"South Asia","Low income"
"AF","AFG","Afghanistan",2009,1454.66301483469,28394813,40.903,48.9,"South Asia","Low income"
