"iso2c","iso3c","country","year","gdp_percap","life_expect","population","birth_rate","neonat_mortal_rate","region","income"
"AD","AND","Andorra",1990,,,54509,11.9,3.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",1995,,,63850,11,2.8,"Europe & Central Asia","High income"
"AD","AND","Andorra",1996,,,64360,10.9,2.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",1997,,,64327,11.2,2.4,"Europe & Central Asia","High income"
"AD","AND","Andorra",1998,,,64142,11.9,2.3,"Europe & Central Asia","High income"
"AD","AND","Andorra",1999,,,64370,12.6,2.2,"Europe & Central Asia","High income"
"AD","AND","Andorra",2000,,,65390,11.3,2.1,"Europe & Central Asia","High income"
"AD","AND","Andorra",2001,,,67341,11.8,2,"Europe & Central Asia","High income"
"AD","AND","Andorra",2015,,,78011,,1.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",2016,,,77297,8.8,1.5,"Europe & Central Asia","High income"
"AD","AND","Andorra",1991,,,56671,11.9,3.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",1992,,,58888,12.1,3.4,"Europe & Central Asia","High income"
"AD","AND","Andorra",1993,,,60971,11.4,3.2,"Europe & Central Asia","High income"
"AD","AND","Andorra",1994,,,62677,10.9,2.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",2008,,,83862,10.4,1.7,"Europe & Central Asia","High income"
"AD","AND","Andorra",2009,,,84463,9.9,1.7,"Europe & Central Asia","High income"
"AD","AND","Andorra",2010,,,84449,9.8,1.7,"Europe & Central Asia","High income"
"AD","AND","Andorra",2011,,,83747,,1.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",2012,,,82427,9.5,1.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",2013,,,80774,,1.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",2014,,,79213,,1.6,"Europe & Central Asia","High income"
"AD","AND","Andorra",2005,,,78867,10.7,1.8,"Europe & Central Asia","High income"
"AD","AND","Andorra",2002,,,70049,11.2,1.9,"Europe & Central Asia","High income"
"AD","AND","Andorra",2017,,,77001,,1.4,"Europe & Central Asia","High income"
"AD","AND","Andorra",2004,,,76244,10.9,1.8,"Europe & Central Asia","High income"
"AD","AND","Andorra",2006,,,80993,10.6,1.8,"Europe & Central Asia","High income"
"AD","AND","Andorra",2007,,,82684,10.1,1.8,"Europe & Central Asia","High income"
"AD","AND","Andorra",2003,,,73182,10.3,1.9,"Europe & Central Asia","High income"
"AE","ARE","United Arab Emirates",2001,80843.6053740834,74.487,3302719,15.971,5.7,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1995,74994.3806244452,72.943,2415090,20.187,7,"Middle East & North Africa","High income"
"AE","ARE","United Arab Emirates",1996,76848.7922432618,73.21,2539126,19.229,6.7,"Middle East & North Africa","High income"
