"country","gdp_percap","life_expect","year"
"Andorra",,,2017
"United Arab Emirates",73355.8769793479,77.412,2017
"Afghanistan",1934.63675412035,64.047,2017
"Antigua and Barbuda",25145.5412294362,76.519,2017
"Albania",12930.0676756249,78.495,2017
"Armenia",9620.81849100036,74.782,2017
"Angola",6650.58493984778,61.809,2017
"Argentina",20843.1550677175,76.738,2017
"American Samoa",,,2017
"Austria",53879.2978545168,81.6414634146342,2017
"Australia",49653.7158885249,82.4975609756098,2017
"Aruba",39454.6298308169,76.01,2017
"Azerbaijan",17525.2796310656,72.123,2017
"Bosnia and Herzegovina",13735.0302372246,77.087,2017
"Barbados",18526.008560408,76.057,2017
"Bangladesh",3998.4194235515,72.808,2017
"Belgium",49411.8690997742,81.4390243902439,2017
"Burkina Faso",1866.17061993571,60.77,2017
"Bulgaria",20948.0970565215,74.8121951219512,2017
"Bahrain",47660.4799076737,77.038,2017
"Burundi",737.97858286726,57.857,2017
"Benin",2276.59572978031,61.171,2017
"Bermuda",,81.4419512195122,2017
"Brunei Darussalam",79789.6050852948,77.374,2017
"Bolivia",7480.07714057558,69.473,2017
"Brazil",15662.2470175963,75.723,2017
"Bahamas, The",31581.1043896488,75.823,2017
"Bhutan",10173.0510685791,70.565,2017
"Botswana",17784.8558105295,67.618,2017
"Belarus",18915.9398914361,74.1292682926829,2017
"Belize",8500.44479966081,70.588,2017
"Canada",46723.3177643637,82.4704878048781,2017
"Congo, Dem. Rep.",888.677279965972,60.031,2017
"Central African Republic",829.346498086113,52.89,2017
"Congo, Rep.",5614.39897396621,65.088,2017
"Switzerland",66299.6250110989,83.6024390243903,2017
"Cote d'Ivoire",3921.71333635819,54.102,2017
"Chile",24248.8607595513,79.732,2017
"Cameroon",3644.80109612329,58.575,2017
"China",16782.2077583531,76.41,2017
"Colombia",14507.2612508546,74.562,2017
"Costa Rica",16976.1874153378,80.03,2017
"Cuba",,79.921,2017
"Cabo Verde",7026.98412242795,73.004,2017
"Curacao",27626.6408891907,78.0170731707317,2017
"Cyprus",36155.4807539388,80.67,2017
"Czech Republic",38019.5805142033,79.4756097560976,2017
"Germany",52574.2604824888,80.990243902439,2017
"Djibouti",,62.643,2017
"Denmark",54356.4482739471,81.0048780487805,2017
"Dominica",10383.9407632773,,2017
"Dominican Republic",16451.5400448466,74.048,2017
"Algeria",15266.4852082981,76.293,2017
"Ecuador",11501.0102924422,76.551,2017
"Estonia",33447.8277198239,77.6414634146342,2017
"Egypt, Arab Rep.",11742.0500882009,71.661,2017
"Eritrea",,65.536,2017
"Spain",39037.3783388467,83.3292682926829,2017
"Ethiopia",1897.24907750157,65.874,2017
"Finland",46343.5772169122,81.4292682926829,2017
"Fiji",10318.9586799074,70.417,2017
"Micronesia, Fed. Sts.",3504.39665060566,69.316,2017
