country,iso3c,gdp_percap
Andorra,AND,-99
United Arab Emirates,ARE,73017.480009563
Afghanistan,AFG,1944.11700479836
Antigua and Barbuda,ATG,22661.4885361636
Albania,ALB,11559.3008437783
Armenia,ARM,8832.76343477124
Angola,AGO,6440.99024209186
Argentina,ARG,20042.5400197144
American Samoa,ASM,-99
Austria,AUT,50521.4826240632
Australia,AUS,46144.120814482
Aruba,ABW,-99
Azerbaijan,AZE,17256.6269704411
Bosnia and Herzegovina,BIH,12172.65025508
Barbados,BRB,18054.740747176
Bangladesh,BGD,3579.75598102606
Belgium,BEL,46416.8541977185
Burkina Faso,BFA,1771.16213900948
Bulgaria,BGR,19242.6226157385
Bahrain,BHR,47066.7630999618
Burundi,BDI,777.752851658978
Benin,BEN,2167.27284700858
Bermuda,BMU,-99
Brunei Darussalam,BRN,77420.6123414915
Bolivia,BOL,7234.19524334693
Brazil,BRA,15181.4713659756
"Bahamas, The",BHS,29779.7979962432
Bhutan,BTN,8900.76455308796
Botswana,BWA,16960.9638749829
Belarus,BLR,18089.0503258733
Belize,BLZ,8540.40422032373
Canada,CAN,44819.4836002717
"Congo, Dem. Rep.",COD,868.221543211932
Central African Republic,CAF,693.30690972402
"Congo, Rep.",COG,5662.79809114461
Switzerland,CHE,63881.6746185979
Cote d'Ivoire,CIV,3693.6523955676
Chile,CHL,23476.4267994692
Cameroon,CMR,3609.37559694929
China,CHN,15530.6342741802
Colombia,COL,14165.4512227635
Costa Rica,CRI,16387.0490387679
Cuba,CUB,-99
Cabo Verde,CPV,6541.09976404895
Curacao,CUW,-99
Cyprus,CYP,32707.8728870037
Czech Republic,CZE,34749.2123632656
Germany,DEU,48943.1018045093
Djibouti,DJI,-99
Denmark,DNK,49029.0148389124
Dominica,DMA,10947.7152243907
Dominican Republic,DOM,15227.9420223578
Algeria,DZA,15013.2963798624
Ecuador,ECU,11242.0475160365
Estonia,EST,29743.3374280246
"Egypt, Arab Rep.",EGY,11134.0267191301
Eritrea,ERI,-99
Spain,ESP,36305.2221318722
Ethiopia,ETH,1734.46407451719
Finland,FIN,43378.1460288181
Fiji,FJI,9109.95192354859
"Micronesia, Fed. Sts.",FSM,3508.71519196101
Faroe Islands,FRO,-99
France,FRA,41357.98693296
Gabon,GAB,18071.2568901822
United Kingdom,GBR,42656.2166021995
Grenada,GRD,14200.0071938055
Georgia,GEO,10004.5284138636
Ghana,GHA,4295.21767034808
Gibraltar,GIB,-99
Greenland,GRL,-99
"Gambia, The",GMB,1676.87879487811
Guinea,GIN,2043.06001260825
Equatorial Guinea,GNQ,26142.0895255227
Greece,GRC,26764.961606123
Guatemala,GTM,7946.67768789209
Guam,GUM,-99
Guinea-Bissau,GNB,1616.42380033177
Guyana,GUY,7836.37917629736
"Hong Kong SAR, China",HKG,58681.6180611178
Honduras,HND,4752.48484803485
Croatia,HRV,23710.4090935342
Haiti,HTI,1783.94018985826
Hungary,HUN,26700.7560826351
Indonesia,IDN,11610.9931218733
Ireland,IRL,71388.7596796249
Israel,ISR,37258.2235945673
Isle of Man,IMN,-99
India,IND,6573.93215524133
Iraq,IRQ,17516.2590836108
"Iran, Islamic Rep.",IRN,19948.8165996546
Iceland,ISL,50745.682977113
Italy,ITA,38380.1724117843
Channel Islands,CHI,-99
Jamaica,JAM,8821.31142953404
Jordan,JOR,9047.76892340397
Japan,JPN,42281.1881895781
Kenya,KEN,3156.11893173745
Kyrgyz Republic,KGZ,3569.51838990232
Cambodia,KHM,3736.96461203482
Kiribati,KIR,2108.53774118545
Comoros,COM,1521.85721808214
St. Kitts and Nevis,KNA,26382.787649901
"Korea, Dem. People’s Rep.",PRK,-99
"Korea, Rep.",KOR,36629.8646004377
Kuwait,KWT,74263.9986260609
Cayman Islands,CYM,-99
Kazakhstan,KAZ,25286.4337247112
Lao PDR,LAO,6549.66799974824
Lebanon,LBN,14308.7511271436
St. Lucia,LCA,13665.3180539293
Liechtenstein,LIE,-99
Sri Lanka,LKA,12343.3608678142
Liberia,LBR,812.673943814557
Lesotho,LSO,2951.02189397517
Lithuania,LTU,29862.3188904098
Luxembourg,LUX,102389.437727633
Latvia,LVA,25586.2887008349
Libya,LBY,15420.168625312
Morocco,MAR,7857.4877165031
Monaco,MCO,-99
Moldova,MDA,5352.77686746082
Montenegro,MNE,17633.146362673
St. Martin (French part),MAF,-99
Madagascar,MDG,1506.23832528188
Marshall Islands,MHL,4022.97863241912
"Macedonia, FYR",MKD,14731.3596294155
Mali,MLI,2125.7160265303
Myanmar,MMR,5721.22800362596
Mongolia,MNG,12252.2771963876
"Macao SAR, China",MAC,105420.354044043
Northern Mariana Islands,MNP,-99
Mauritania,MRT,3852.52573392977
Malta,MLT,37363.3293251829
Mauritius,MUS,21102.5589231981
Maldives,MDV,15347.9977861679
Malawi,MWI,1168.82562558063
Mexico,MEX,17769.664279286
Malaysia,MYS,27682.6079402983
Mozambique,MOZ,1215.7876396975
Namibia,NAM,10596.4173811197
New Caledonia,NCL,-99
Niger,NER,989.089743874414
Nigeria,NGA,5861.08965603116
Nicaragua,NIC,5533.07423980306
Netherlands,NLD,50538.6065695989
Norway,NOR,58808.3907633282
Nepal,NPL,2477.90334509701
Nauru,NRU,13966.4977802226
New Zealand,NZL,39465.1153093061
Oman,OMN,43012.8491996942
Panama,PAN,23157.2224037205
Peru,PER,13030.0139047179
French Polynesia,PYF,-99
Papua New Guinea,PNG,4117.28565471062
