year,participants,costs
1969,2878e3,250.5
1970,434e4,576.9
1971,9368e3,1575.9
1972,11109e3,1866.7
1973,12166e3,2207.4
1974,12862e3,2837.5
1975,17064e3,4618.7
1976,18549e3,5685.5
1977,17077e3,5461
1978,16001e3,5519.7
1979,17653e3,6939.8
1980,21082e3,9206.5
1981,2243e4,11225.2
1982,21717e3,10836.7
1983,21625e3,11847.1
1984,20854e3,11578.8
1985,19899e3,11703.2
1986,19429e3,11638.4
1987,19113e3,11604.2
1988,18645e3,12316.8
1989,18806463.4167,12901.59
1990,20048977.5833,15447.26
1991,22624627,18747.27
1992,25406985.4167,22462.34
1993,26986774.5,23652.97
1994,27473696.3333,24493.45
1995,26618772.8333,24620.37
1996,25542531.1667,24330.99
1997,22858136.5,21507.55
1998,19790984.5,18988.32
1999,18182537.9167,17820.92
2000,17194334.3333,17054.02
2001,17318458.0833,17789.39
2002,19095636.6667,20637.02
2003,21249625.8333,23816.28
2004,23810742,27099.03
2005,25628456.0833,31072.01
2006,26548833.1667,32903.06
2007,26316044.5833,33173.52
2008,28222630.25,37639.64
2009,33489974.499999996,53619.92
2010,40301878,68283.47
2011,44708726.0833,75686.54
2012,46609071.5,78411.1
2013,47636089.8333,79859.07
2014,46663872.4167,74058.46
2015,45766671.6667,73960.82
2016,44219362.8333,70923.53
